ID,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,LON_MID,LAT_MID,LENGTH_KM,NAME,TYPE,DIAMETER,DATE,WALLTHICK,ADHESION,AREA,DEPTH,SMYS,N_RAMBERG,R_RAMBERG,SOIL,PHI,SHEARSTREN,INTERFACE,GWT,PRESSURE,OBJ_ID,SUB_SEGMENT_ID
54,-118.50102758752023,34.28412497397571,-118.50103791573392,34.283345817205635,-118.5010327516,34.2837353956,0.086643,New Line 120,New Line 120,610,1994,9.5,0.7,12136,1.5,462000,16.8,10.7,Sand,39.0,,0.55,7.5,1300,6,5
55,-118.50103791573392,34.283345817205635,-118.50104824394761,34.28256666043557,-118.5010430798,34.2829562388,0.086643,New Line 120,New Line 120,610,1994,9.5,0.7,12136,1.5,462000,16.8,10.7,Sand,39.0,,0.55,7.5,1300,6,6
56,-118.50104824394761,34.28256666043557,-118.5010585721613,34.2817875036655,-118.5010534081,34.2821770821,0.086643,New Line 120,New Line 120,610,1994,9.5,0.7,12136,1.5,462000,16.8,10.7,Sand,39.0,,0.55,7.5,1300,6,7
57,-118.5010585721613,34.2817875036655,-118.50106890037499,34.28100834689543,-118.5010637363,34.2813979253,0.086643,New Line 120,New Line 120,610,1994,9.5,0.7,12136,1.5,462000,16.8,10.7,Sand,39.0,,0.55,7.5,1300,6,8
58,-118.50106890037499,34.28100834689543,-118.50107922858868,34.28022919012536,-118.5010740645,34.2806187685,0.086643,New Line 120,New Line 120,610,1994,9.5,0.7,12136,1.5,462000,16.8,10.7,Sand,39.0,,0.55,7.5,1300,6,9
59,-118.50107922858868,34.28022919012536,-118.50035458343768,34.28021294445332,-118.500716906,34.2802210673,0.066605,New Line 120,New Line 120,610,1994,9.5,0.7,12136,1.5,462000,16.8,10.7,Sand,39.0,,0.55,7.5,1300,6,10
60,-118.5019032883998,34.28632582786358,-118.50191673704829,34.28550980115187,-118.5019100127,34.2859178145,0.090746,Gas Distribution Line,Gas Distribution,168,1957,4.8,0.7,2461,1.3,324000,26.1,10.3,Clay,,48.0,,7.5,1340,7,1
61,-118.50191673704829,34.28550980115187,-118.50193018569678,34.284693774440164,-118.5019234614,34.2851017878,0.090746,Gas Distribution Line,Gas Distribution,168,1957,4.8,0.7,2461,1.3,324000,26.1,10.3,Clay,,48.0,,7.5,1340,7,2
62,-118.50193018569678,34.284693774440164,-118.50194363434527,34.283877747728454,-118.50193691,34.2842857611,0.090746,Gas Distribution Line,Gas Distribution,168,1957,4.8,0.7,2461,1.3,324000,26.1,10.3,Clay,,48.0,,7.5,1340,7,3
63,-118.50194363434527,34.283877747728454,-118.50195708299375,34.28306172101674,-118.5019503587,34.2834697344,0.090746,Gas Distribution Line,Gas Distribution,168,1957,4.8,0.7,2461,1.3,324000,26.1,10.3,Clay,,48.0,,7.5,1340,7,4
64,-118.50195708299375,34.28306172101674,-118.50197053164224,34.28224569430503,-118.5019638073,34.2826537077,0.090746,Gas Distribution Line,Gas Distribution,168,1957,4.8,0.7,2461,1.3,324000,26.1,10.3,Clay,,48.0,,7.5,1340,7,5
65,-118.50197053164224,34.28224569430503,-118.50198398029073,34.28142966759333,-118.501977256,34.2818376809,0.090746,Gas Distribution Line,Gas Distribution,168,1957,4.8,0.7,2461,1.3,324000,26.1,10.3,Clay,,48.0,,7.5,1340,7,6
66,-118.50198398029073,34.28142966759333,-118.50199742893922,34.28061364088162,-118.5019907046,34.2810216542,0.090746,Gas Distribution Line,Gas Distribution,168,1957,4.8,0.7,2461,1.3,324000,26.1,10.3,Clay,,48.0,,7.5,1340,7,7
67,-118.50199742893922,34.28061364088162,-118.50201087758771,34.27979761416991,-118.5020041533,34.2802056275,0.090746,Gas Distribution Line,Gas Distribution,168,1957,4.8,0.7,2461,1.3,324000,26.1,10.3,Clay,,48.0,,7.5,1340,7,8
68,-118.50201087758771,34.27979761416991,-118.5020243262362,34.278981587458205,-118.5020176019,34.2793896008,0.090746,Gas Distribution Line,Gas Distribution,168,1957,4.8,0.7,2461,1.3,324000,26.1,10.3,Clay,,48.0,,7.5,1340,7,9
69,-118.5020243262362,34.278981587458205,-118.50203777488468,34.278165560746494,-118.5020310506,34.2785735741,0.090746,Gas Distribution Line,Gas Distribution,168,1957,4.8,0.7,2461,1.3,324000,26.1,10.3,Clay,,48.0,,7.5,1340,7,10
70,-118.50208350337357,34.286355191643594,-118.50208908703951,34.2855353138449,-118.5020862952,34.2859452527,0.091168,Rinaldi Trunk Line,Water,1723,1978,9.5,0.7,11834,2.4,262000,8.0,50.0,Clay,,48.0,,7.5,600,8,1
71,-118.50208908703951,34.2855353138449,-118.50209467070546,34.28471543604621,-118.5020918789,34.2851253749,0.091168,Rinaldi Trunk Line,Water,1723,1978,9.5,0.7,11834,2.4,262000,8.0,50.0,Clay,,48.0,,7.5,600,8,2
72,-118.50209467070546,34.28471543604621,-118.5021002543714,34.28389555824752,-118.5020974625,34.2843054971,0.091168,Rinaldi Trunk Line,Water,1723,1978,9.5,0.7,11834,2.4,262000,8.0,50.0,Clay,,48.0,,7.5,600,8,3
73,-118.5021002543714,34.28389555824752,-118.50210583803735,34.28307568044883,-118.5021030462,34.2834856193,0.091168,Rinaldi Trunk Line,Water,1723,1978,9.5,0.7,11834,2.4,262000,8.0,50.0,Clay,,48.0,,7.5,600,8,4
74,-118.50210583803735,34.28307568044883,-118.50211142170329,34.28225580265014,-118.5021086299,34.2826657415,0.091168,Rinaldi Trunk Line,Water,1723,1978,9.5,0.7,11834,2.4,262000,8.0,50.0,Clay,,48.0,,7.5,600,8,5
75,-118.50211142170329,34.28225580265014,-118.50211700536923,34.28143592485146,-118.5021142135,34.2818458638,0.091168,Rinaldi Trunk Line,Water,1723,1978,9.5,0.7,11834,2.4,262000,8.0,50.0,Clay,,48.0,,7.5,600,8,6
76,-118.50211700536923,34.28143592485146,-118.50212258903518,34.28061604705277,-118.5021197972,34.281025986,0.091168,Rinaldi Trunk Line,Water,1723,1978,9.5,0.7,11834,2.4,262000,8.0,50.0,Clay,,48.0,,7.5,600,8,7
77,-118.50212258903518,34.28061604705277,-118.50212817270112,34.27979616925408,-118.5021253809,34.2802061082,0.091168,Rinaldi Trunk Line,Water,1723,1978,9.5,0.7,11834,2.4,262000,8.0,50.0,Clay,,48.0,,7.5,600,8,8
78,-118.50212817270112,34.27979616925408,-118.50213375636707,34.278976291455386,-118.5021309645,34.2793862304,0.091168,Rinaldi Trunk Line,Water,1723,1978,9.5,0.7,11834,2.4,262000,8.0,50.0,Clay,,48.0,,7.5,600,8,9
79,-118.50213375636707,34.278976291455386,-118.50213934003301,34.278156413656696,-118.5021365482,34.2785663526,0.091168,Rinaldi Trunk Line,Water,1723,1978,9.5,0.7,11834,2.4,262000,8.0,50.0,Clay,,48.0,,7.5,600,8,10
