,5th_eps_pipe_tens,16th_eps_pipe_tens,50th_eps_pipe_tens,84th_eps_pipe_tens,95th_eps_pipe_tens,mean_eps_pipe_tens
segment_174966,0.0,0.0,0.0,0.0,0.0,0.0
segment_174967,0.0,0.0,0.0,0.0,0.0,0.0
segment_174968,0.0,0.0,0.0,0.0,0.0,0.0
segment_174969,0.0,0.0,0.0,0.0,0.0,0.0
segment_174970,0.0,0.0,0.0,0.0,0.0,0.0
segment_174971,0.0,0.0,0.0,0.0,0.0,0.0
segment_174972,0.0,0.0,0.0,0.0,0.0,0.0
segment_174973,0.0,0.0,0.0,0.0,0.0,0.0
segment_174974,0.0,0.0,0.0,0.0,0.0,0.0
segment_174975,0.0,0.0,0.0,0.0,0.0,0.0
segment_174976,0.0,0.0,0.0,0.0,0.0,0.0
segment_174977,0.0,0.0,0.0,0.0,0.0,0.0
segment_174978,0.0,0.0,0.0,0.0,0.0,0.0
segment_174979,0.0,0.0,0.0,0.0,0.0,0.0
segment_174980,0.0,0.0,0.0,0.0,0.0,0.0
segment_174981,0.0,0.0,0.0,0.0,0.0,0.0
segment_174982,0.0,0.0,0.0,0.0,0.0,0.0
segment_174983,0.0,0.0,0.0,0.0,0.0,0.0
segment_174984,0.0,0.0,0.0,0.0,0.0,0.0
segment_174985,0.0,0.0,0.0,0.0,0.0,0.0
segment_174986,0.0,0.0,0.0,0.0,0.0,0.0
segment_174987,0.0,0.0,0.0,0.0,0.0,0.0
segment_174988,0.0,0.0,0.0,0.0,0.0,0.0
segment_174989,0.0,0.0,0.0,0.0,0.0,0.0
segment_174990,0.0,0.0,0.0,0.0,0.0,0.0
segment_174991,0.0,0.0,0.0,0.0,0.0,0.0
segment_174992,0.0,0.0,0.0,0.0,0.0,0.0
segment_174993,0.0,0.0,0.0,0.0,0.0,0.0
segment_174994,0.0,0.0,0.0,0.0,0.0,0.0
segment_174995,0.0,0.0,0.0,0.0,0.0,0.0
segment_174996,0.0,0.0,0.0,0.0,0.0,0.0
segment_174997,0.0,0.0,0.0,0.0,0.0,0.0
segment_174998,0.0,0.0,0.0,0.0,0.0,0.0
segment_174999,0.0,0.0,0.0,4.3175e-10,5.51e-10,2.432e-10
segment_175000,0.0,0.0,2.497e-10,1.734e-09,2.2175e-09,9.86e-10
segment_175001,0.0,0.0,0.0,0.0,0.0,0.0
segment_175002,0.0,0.0,0.0,0.0,0.0,0.0
segment_175003,0.0,0.0,0.0,0.0,0.0,0.0
segment_175004,0.0,0.0,0.0,0.0,0.0,0.0
segment_175005,0.0,0.0,0.0,0.0,0.0,0.0
segment_175006,0.0,0.0,0.0,0.0,0.0,0.0
segment_175007,0.0,0.0,0.0,0.0,0.0,0.0
segment_175008,0.0,0.0,0.0,0.0,0.0,0.0
segment_175009,0.0,0.0,0.0,0.0,0.0,0.0
segment_175010,0.0,0.0,0.0,0.0,1.0985e-10,0.0
segment_175011,0.0,0.0,6.13e-09,3.6825e-08,4.5575e-08,2.149e-08
segment_175012,0.0,0.0,8.135e-08,4.87e-07,5.91e-07,2.8775e-07
segment_175013,0.0,0.0,8.8425e-08,5.1225e-07,6.2775e-07,3.0425e-07
segment_175014,0.0,0.0,2.9175e-07,1.7605e-06,2.1495e-06,1.049e-06
