ID,LON,LAT,vs30,z1p0,z2p5,vs30source,vs30_ref,z1p0_ref,z2p5_ref
114,-121.3,38.8,386.6,0.2225784,0.233031342,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
115,-121.3,38.8,386.6,0.2225784,0.233031342,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
116,-121.3,38.8,386.6,0.2225784,0.233031342,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
117,-121.3,38.8,386.6,0.2225784,0.233031342,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
118,-121.3,38.8,386.6,0.2225784,0.233031342,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
119,-121.3,38.8,386.6,0.2225784,0.233031342,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
120,-121.3,38.8,386.6,0.2225784,0.233031342,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
121,-121.3,38.8,386.6,0.2225784,0.233031342,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
122,-121.3,38.8,386.6,0.2225784,0.233031342,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
123,-121.3,38.8,386.6,0.2225784,0.233031342,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
124,-121.3,38.8,386.6,0.2225784,0.233031342,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
125,-121.3,38.8,386.6,0.2225784,0.233031342,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
126,-121.3,38.8,386.6,0.2225784,0.233031342,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
127,-121.3,38.8,386.6,0.2225784,0.233031342,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
128,-121.3,38.8,386.6,0.2225784,0.233031342,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
129,-121.3,38.8,386.6,0.2225784,0.233031342,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
130,-121.3,38.8,386.6,0.2225784,0.233031342,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
131,-121.3,38.8,386.6,0.2225784,0.233031342,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
132,-121.3,38.8,386.6,0.2225784,0.233031342,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
133,-121.3,38.8,386.6,0.2225784,0.233031342,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
134,-121.3,38.8,386.6,0.2225784,0.233031342,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
135,-121.3,38.8,386.6,0.2225784,0.233031342,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
136,-121.3,38.8,386.6,0.2225784,0.233031342,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
137,-121.45,38.45,386.6,0.608,2.504615234,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
138,-121.45,38.45,386.6,0.608,2.504615234,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
139,-121.45,38.45,386.6,0.608,2.504615234,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
140,-121.45,38.45,386.6,0.608,2.504615234,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
141,-121.45,38.45,386.6,0.608,2.504615234,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
142,-121.45,38.45,386.6,0.608,2.504615234,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
143,-121.45,38.45,386.6,0.608,2.504615234,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
144,-121.45,38.45,386.6,0.608,2.504615234,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
145,-121.45,38.45,386.6,0.608,2.504615234,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
146,-121.45,38.45,386.6,0.608,2.504615234,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
147,-121.45,38.45,386.6,0.608,2.504615234,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
148,-121.45,38.45,386.6,0.608,2.504615234,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
149,-121.45,38.45,386.6,0.608,2.504615234,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
150,-121.45,38.45,386.6,0.608,2.504615234,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
151,-121.45,38.45,386.6,0.608,2.504615234,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
152,-121.45,38.45,386.6,0.608,2.504615234,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
153,-121.45,38.45,386.6,0.608,2.504615234,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
154,-121.45,38.45,386.6,0.608,2.504615234,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
155,-121.45,38.45,386.6,0.608,2.504615234,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
156,-121.45,38.45,386.6,0.608,2.504615234,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
157,-121.45,38.45,386.6,0.608,2.504615234,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
158,-121.45,38.45,386.6,0.608,2.504615234,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
159,-121.45,38.45,386.6,0.608,2.504615234,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
160,-121.45,38.45,386.6,0.608,2.504615234,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
161,-121.45,38.45,386.6,0.608,2.504615234,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
162,-121.45,38.45,386.6,0.608,2.504615234,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
163,-121.45,38.45,386.6,0.608,2.504615234,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
164,-121.45,38.45,386.6,0.608,2.504615234,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
