ID,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,LON_MID,LAT_MID,LENGTH_KM,OBJECTID,DIAMETER,OBJ_ID,SUB_SEGMENT_ID,L_ANCHOR_FULL_METER,SEGMENT_AZIMUTH_DEG,ASPECT_DEG_FROM_90M,LEVEL2_LIQ_BETA_CROSSING,section_crossed,which_half,l_anchor,crossing_lon,crossing_lat,prob_crossing,beta_crossing,psi_dip,theta_rake
4334,-121.5766077,39.00663487,-121.5759744,39.00683305,-121.57629105,39.00673396,0.058992,1035,101.6,4334,1,88.6,67.2,292.0,135.20000000000002,,,88.6,-121.57629105000001,39.00673395999999,0.25,135,15,45
4335,-121.5759744,39.00683305,-121.5751496,39.00713415,-121.575562,39.0069836,0.07874,1035,101.6,4335,1,157.6,64.0,310.0,114.0,,,157.6,-121.575562,39.00698359999999,0.25,135,15,45
4336,-121.5751496,39.00713415,-121.5743248,39.00743525,-121.5747372,39.0072847,0.07874,1035,101.6,4336,1,236.5,64.0,268.0,156.00000000000006,,,236.5,-121.57473719999999,39.007284699999985,0.25,135,15,45
4337,-121.5743248,39.00743525,-121.5735,39.00773636,-121.5739124,39.007585805,0.07874,1035,101.6,4337,1,315.3,64.0,61.0,177.00000000000009,,,315.3,-121.57391240000001,39.007585805,0.25,135,15,45
4338,-121.5735,39.00773636,-121.5727302,39.00801805,-121.5731151,39.007877205,0.073521,1035,101.6,4338,1,391.6,64.0,89.0,155.0,,,391.6,-121.5731151,39.007877205,0.25,135,15,45
4339,-121.5727302,39.00801805,-121.5719605,39.00829973,-121.57234535,39.00815889,0.073512,1035,101.6,4339,1,465.2,64.0,161.0,97.0,,,465.2,-121.57234534999999,39.00815888999998,0.25,135,15,45
4340,-121.5719605,39.00829973,-121.5711907,39.00858142,-121.5715756,39.008440575,0.07352,1035,101.6,4340,1,538.8,64.0,135.0,109.0,,,538.8,-121.5715756,39.008440575,0.25,135,15,45
4341,-121.5711907,39.00858142,-121.5706108,39.00887608,-121.57090075,39.00872875,0.059867,1035,101.6,4341,1,605.6,56.0,142.0,94.0,,,605.6,-121.57090075,39.008728749999996,0.25,135,15,45
4342,-121.5706108,39.00887608,-121.5699492,39.00906453,-121.57028,39.008970305,0.060884,1035,101.6,4342,1,666.1,69.0,144.0,105.0,,,666.1,-121.57028000000001,39.00897030499999,0.25,135,15,45
4343,-121.5699492,39.00906453,-121.5692876,39.00925298,-121.5696184,39.009158755,0.060884,1035,101.6,4343,1,727.1,69.0,144.0,105.0,,,727.1,-121.5696184,39.009158755,0.25,135,15,45
4344,-121.5692876,39.00925298,-121.5683301,39.00956725,-121.56880885,39.009410115,0.089809,1035,101.6,4344,1,695.1,66.3,142.0,104.3,,,695.1,-121.56880885,39.009410114999994,0.25,135,15,45
4345,-121.5683301,39.00956725,-121.5677417,39.00978187,-121.5680359,39.00967456,0.056162,1035,101.6,4345,1,622.0,64.0,158.0,94.0,,,622.0,-121.5680359,39.00967455999999,0.25,135,15,45
4346,-121.5677417,39.00978187,-121.5670253,39.01007419,-121.5673835,39.00992803,0.069914,1035,101.6,4346,1,558.9,61.5,164.0,102.49999999999996,,,558.9,-121.56738350000002,39.00992802999999,0.25,135,15,45
4347,-121.5670253,39.01007419,-121.566309,39.01036651,-121.56666715,39.01022035,0.069906,1035,101.6,4347,1,488.9,61.5,158.0,96.5,,,488.9,-121.56666714999999,39.01022034999999,0.25,135,15,45
4348,-121.566309,39.01036651,-121.565361,39.01071548,-121.565835,39.010540995,0.090636,1035,101.6,4348,1,408.5,63.8,182.0,118.2,,,408.5,-121.56583500000002,39.01054099500001,0.25,135,15,45
4349,-121.565361,39.01071548,-121.5650002,39.01078949,-121.5651806,39.010752485,0.032242,1035,101.6,4349,1,346.9,74.4,190.0,115.6,,,346.9,-121.5651806,39.010752485,0.25,135,15,45
4350,-121.5650002,39.01078949,-121.5644531,39.01085663,-121.56472665,39.01082306,0.047856,1035,101.6,4350,1,306.8,80.2,190.0,109.8,,,306.8,-121.56472665,39.010823059999986,0.25,135,15,45
4351,-121.5644531,39.01085663,-121.5640069,39.01085519,-121.56423,39.01085591,0.038553,1035,101.6,4351,1,263.5,89.3,188.0,98.70000000000002,,,263.5,-121.56423000000001,39.01085591,0.25,135,15,45
4352,-121.5640069,39.01085519,-121.5630783,39.0108522,-121.5635426,39.010853695,0.080233,1035,101.6,4352,1,204.0,89.3,191.0,101.7,,,204.0,-121.56354260000002,39.010853695,0.25,135,15,45
4353,-121.5630783,39.0108522,-121.5621496,39.0108492,-121.56261395,39.0108507,0.080242,1035,101.6,4353,1,123.6,89.3,191.0,101.7,,,123.6,-121.56261395,39.0108507,0.25,135,15,45
4354,-121.5621496,39.0108492,-121.5619888,39.01089096,-121.5620692,39.01087008,0.014649,1035,101.6,4354,1,76.0,70.7,333.0,97.70000000000002,,,76.0,-121.56206920000001,39.010870080000004,0.25,135,15,45
4355,-121.5619888,39.01089096,-121.5617782,39.01106206,-121.5618835,39.01097651,0.026326,1035,101.6,4355,1,55.5,42.9,333.0,110.1,,,55.5,-121.56188350000001,39.010976510000006,0.25,135,15,45
4356,-121.5617782,39.01106206,-121.5614804,39.0113041,-121.5616293,39.01118308,0.037234,1035,101.6,4356,1,23.7,42.9,333.0,110.1,,,23.7,-121.56162930000002,39.011183079999995,0.25,135,15,45
4357,-121.5614804,39.0113041,-121.5614395,39.01133728,-121.56145995,39.01132069,0.005109,1035,101.6,4357,1,2.6,43.0,333.0,110.0,,,2.6,-121.56145995,39.01132068999999,0.25,135,15,45
4358,-121.5614395,39.01133728,-121.5612106,39.0111618,-121.56132505,39.01124954,0.027783,1035,101.6,4358,1,13.9,133.6,11.0,122.59999999999998,,,13.9,-121.56132505,39.01124954,0.25,135,15,45
4359,-121.5612106,39.0111618,-121.5612106,39.01110077,-121.5612106,39.011131285,0.006786,1035,101.6,4359,1,3.4,179.1,11.0,168.1,,,3.4,-121.56121060000001,39.011131285,0.25,135,15,45
4700,-121.3214111,38.79578018,-121.321373,38.79578018,-121.32139205,38.79578018,0.003302,1044,101.6,4700,1,1.7,88.9,200.0,111.1,,,1.7,-121.32139204999999,38.79578018,0.25,135,15,45
4701,-121.321373,38.79578018,-121.3213806,38.79561234,-121.3213768,38.79569626,0.018675,1044,101.6,4701,1,9.3,181.0,200.0,161.0,,,9.3,-121.3213768,38.79569626,0.25,135,15,45
4702,-121.3213806,38.79561234,-121.3205566,38.79560852,-121.3209686,38.79561043,0.071412,1044,101.6,4702,1,35.8,89.3,159.0,110.29999999999998,,,35.8,-121.32096860000001,38.795610429999996,0.25,135,15,45
4703,-121.3205566,38.79560852,-121.3205566,38.79559708,-121.3205566,38.7956028,0.001272,1044,101.6,4703,1,0.6,178.9,159.0,160.1,,,0.6,-121.3205566,38.7956028,0.25,135,15,45
4704,-121.3205566,38.79559708,-121.3195143,38.79560826,-121.32003545,38.79560267,0.090338,1044,101.6,4704,1,45.3,88.2,322.0,126.20000000000005,,,45.3,-121.32003545,38.79560267,0.25,135,15,45
4705,-121.3195143,38.79560826,-121.319186,38.79561305,-121.31935015,38.795610655,0.028457,1044,101.6,4705,1,104.8,87.9,343.0,104.9,,,104.8,-121.31935015,38.795610655,0.25,135,15,45
4706,-121.319186,38.79561305,-121.3180937,38.79562825,-121.31863985,38.79562065,0.094678,1044,101.6,4706,1,166.5,87.9,16.0,108.1,,,166.5,-121.31863985000001,38.79562065,0.25,135,15,45
4707,-121.3180937,38.79562825,-121.3171705,38.79563979,-121.3176321,38.79563402,0.080018,1044,101.6,4707,1,254.1,88.0,349.0,99.0,,,254.1,-121.31763210000001,38.795634019999994,0.25,135,15,45
4708,-121.3171705,38.79563979,-121.316153,38.79565261,-121.31666175,38.7956462,0.088192,1044,101.6,4708,1,338.4,88.0,349.0,99.0,,,338.4,-121.31666175,38.79564620000001,0.25,135,15,45
4709,-121.316153,38.79565261,-121.3156827,38.79565864,-121.31591785,38.795655625,0.040763,1044,101.6,4709,1,403.0,88.0,358.0,90.00000000000001,,,403.0,-121.31591785,38.795655624999995,0.25,135,15,45
4710,-121.3156827,38.79565864,-121.3150622,38.79566491,-121.31537245,38.795661775,0.053779,1044,101.6,4710,1,450.4,88.2,49.0,140.8,,,450.4,-121.31537245,38.79566177499999,0.25,135,15,45
4711,-121.3150622,38.79566491,-121.3143331,38.79567742,-121.31469765,38.795671165,0.063202,1044,101.6,4711,1,509.0,87.7,356.0,91.69999999999996,,,509.0,-121.31469765,38.795671165,0.25,135,15,45
4712,-121.3143331,38.79567742,-121.3133586,38.79569206,-121.31384585,38.79568474,0.084469,1044,101.6,4712,1,461.0,87.8,38.0,130.2,,,461.0,-121.31384585,38.79568474,0.25,135,15,45
4713,-121.3133586,38.79569206,-121.3124325,38.79571065,-121.31289555,38.795701355,0.080286,1044,101.6,4713,1,378.4,87.5,302.0,145.5,,,378.4,-121.31289555,38.795701355,0.25,135,15,45
