SourceIndex,Longitude,Latitude,Depth
253828,-118,32.7,0
253829,-117.9,32.7,0
253830,-117.8,32.7,0
253831,-117.7,32.7,0
253832,-117.6,32.7,0
253833,-117.5,32.7,0
253834,-117.4,32.7,0
253835,-117.3,32.7,0
253836,-117.2,32.7,0
253837,-117.1,32.7,0
253838,-117,32.7,0
253839,-116.9,32.7,0
253840,-116.8,32.7,0
253841,-116.7,32.7,0
253842,-116.6,32.7,0
253843,-116.5,32.7,0
253844,-116.4,32.7,0
253845,-116.3,32.7,0
253846,-116.2,32.7,0
253847,-116.1,32.7,0
253848,-116,32.7,0
253849,-115.9,32.7,0
253850,-115.8,32.7,0
253851,-115.7,32.7,0
253852,-115.6,32.7,0
253853,-115.5,32.7,0
253854,-115.4,32.7,0
253855,-115.3,32.7,0
253856,-115.2,32.7,0
253857,-115.1,32.7,0
253858,-115,32.7,0
253859,-114.9,32.7,0
253860,-114.8,32.7,0
253861,-114.7,32.7,0
253862,-114.6,32.7,0
253863,-114.5,32.7,0
253864,-114.4,32.7,0
253865,-114.3,32.7,0
253866,-114.2,32.7,0
253867,-114.1,32.7,0
253868,-114,32.7,0
253869,-113.9,32.7,0
253870,-113.8,32.7,0
253871,-113.7,32.7,0
253872,-113.6,32.7,0
253873,-118.4,32.8,0
253874,-118.3,32.8,0
253875,-118.2,32.8,0
253876,-118.1,32.8,0
253877,-118,32.8,0
253878,-117.9,32.8,0
253879,-117.8,32.8,0
253880,-117.7,32.8,0
253881,-117.6,32.8,0
253882,-117.5,32.8,0
253883,-117.4,32.8,0
253884,-117.3,32.8,0
253885,-117.2,32.8,0
253886,-117.1,32.8,0
253887,-117,32.8,0
253888,-116.9,32.8,0
253889,-116.8,32.8,0
253890,-116.7,32.8,0
253891,-116.6,32.8,0
253892,-116.5,32.8,0
253893,-116.4,32.8,0
253894,-116.3,32.8,0
253895,-116.2,32.8,0
253896,-116.1,32.8,0
253897,-116,32.8,0
253898,-115.9,32.8,0
253899,-115.8,32.8,0
253900,-115.7,32.8,0
253901,-115.6,32.8,0
253902,-115.5,32.8,0
253903,-115.4,32.8,0
253904,-115.3,32.8,0
253905,-115.2,32.8,0
253906,-115.1,32.8,0
253907,-115,32.8,0
253908,-114.9,32.8,0
253909,-114.8,32.8,0
253910,-114.7,32.8,0
253911,-114.6,32.8,0
253912,-114.5,32.8,0
253913,-114.4,32.8,0
253914,-114.3,32.8,0
253915,-114.2,32.8,0
253916,-114.1,32.8,0
253917,-114,32.8,0
253918,-113.9,32.8,0
253919,-113.8,32.8,0
253920,-113.7,32.8,0
253921,-113.6,32.8,0
253922,-118.6,32.9,0
253923,-118.5,32.9,0
253924,-118.4,32.9,0
253925,-118.3,32.9,0
253926,-118.2,32.9,0
253927,-118.1,32.9,0
253928,-118,32.9,0
253929,-117.9,32.9,0
253930,-117.8,32.9,0
253931,-117.7,32.9,0
253932,-117.6,32.9,0
253933,-117.5,32.9,0
253934,-117.4,32.9,0
253935,-117.3,32.9,0
253936,-117.2,32.9,0
253937,-117.1,32.9,0
253938,-117,32.9,0
253939,-116.9,32.9,0
253940,-116.8,32.9,0
253941,-116.7,32.9,0
253942,-116.6,32.9,0
253943,-116.5,32.9,0
253944,-116.4,32.9,0
253945,-116.3,32.9,0
253946,-116.2,32.9,0
253947,-116.1,32.9,0
253948,-116,32.9,0
253949,-115.9,32.9,0
253950,-115.8,32.9,0
253951,-115.7,32.9,0
253952,-115.6,32.9,0
253953,-115.5,32.9,0
253954,-115.4,32.9,0
253955,-115.3,32.9,0
253956,-115.2,32.9,0
253957,-115.1,32.9,0
253958,-115,32.9,0
253959,-114.9,32.9,0
253960,-114.8,32.9,0
253961,-114.7,32.9,0
253962,-114.6,32.9,0
253963,-114.5,32.9,0
253964,-114.4,32.9,0
253965,-114.3,32.9,0
253966,-114.2,32.9,0
