SectionID,SectionName,SectionTrace
8,"San Andreas (Peninsula) 2011 CFM, Subsection 3","[[-122.14343, 37.29976, 0.0], [-122.16575, 37.31659, 0.0], [-122.19097, 37.34096, 0.0]]"
1300,"San Andreas (Peninsula) 2011 CFM, Subsection 4","[[-122.19097, 37.34096, 0.0], [-122.20213, 37.35174, 0.0], [-122.2328, 37.38602, 0.0]]"
146,"San Andreas (Peninsula) 2011 CFM, Subsection 5","[[-122.2328, 37.38602, 0.0], [-122.26628, 37.42341, 0.0], [-122.27412, 37.43142, 0.0]]"
963,"San Andreas (Peninsula) 2011 CFM, Subsection 6","[[-122.27412, 37.43142, 0.0], [-122.31744, 37.47565, 0.0]]"
308,"San Andreas (Peninsula) 2011 CFM, Subsection 7","[[-122.31744, 37.47565, 0.0], [-122.35596, 37.51492, 0.0], [-122.36027, 37.52017, 0.0]]"
2462,"San Andreas (Peninsula) 2011 CFM, Subsection 8","[[-122.36027, 37.52017, 0.0], [-122.39886, 37.5671, 0.0]]"
1172,"San Andreas (Peninsula) 2011 CFM, Subsection 9","[[-122.39886, 37.5671, 0.0], [-122.43749, 37.61402, 0.0]]"
2021,"San Andreas (Peninsula) 2011 CFM, Subsection 10","[[-122.43749, 37.61402, 0.0], [-122.44534, 37.62354, 0.0], [-122.48136, 37.6579, 0.0]]"
440,"Butano 2011 CFM, Subsection 3","[[-122.09447, 37.2002, 0.0], [-122.15798, 37.21204, 0.0]]"
2530,"Butano 2011 CFM, Subsection 4","[[-122.15798, 37.21204, 0.0], [-122.17583, 37.21536, 0.0], [-122.21344, 37.23767, 0.0]]"
210,"Butano 2011 CFM, Subsection 5","[[-122.21344, 37.23767, 0.0], [-122.2658, 37.26869, 0.0]]"
1508,"Butano 2011 CFM, Subsection 6","[[-122.2658, 37.26869, 0.0], [-122.27273, 37.27279, 0.0], [-122.3257, 37.28875, 0.0]]"
379,"Butano 2011 CFM, Subsection 7","[[-122.3257, 37.28875, 0.0], [-122.38679, 37.30712, 0.0]]"
1878,"San Gregorio (North) 2011 CFM, Subsection 13","[[-122.39898, 37.33016, 0.0], [-122.37986, 37.28196, 0.0]]"
1940,"San Gregorio (North) 2011 CFM, Subsection 12","[[-122.41813, 37.37836, 0.0], [-122.41812, 37.37835, 0.0], [-122.39898, 37.33016, 0.0]]"
1153,"San Gregorio (North) 2011 CFM, Subsection 11","[[-122.44207, 37.42517, 0.0], [-122.44104, 37.42378, 0.0], [-122.41813, 37.37836, 0.0]]"
813,"San Gregorio (North) 2011 CFM, Subsection 10","[[-122.47439, 37.46873, 0.0], [-122.44207, 37.42517, 0.0]]"
2451,"San Gregorio (North) 2011 CFM, Subsection 9","[[-122.50674, 37.51227, 0.0], [-122.47439, 37.46873, 0.0]]"
1043,"San Gregorio (North) 2011 CFM, Subsection 8","[[-122.52904, 37.55935, 0.0], [-122.51483, 37.52315, 0.0], [-122.50674, 37.51227, 0.0]]"
2494,"San Gregorio (North) 2011 CFM, Subsection 7","[[-122.54849, 37.60748, 0.0], [-122.54313, 37.59522, 0.0], [-122.52904, 37.55935, 0.0]]"
712,"San Gregorio (North) 2011 CFM, Subsection 6","[[-122.5694, 37.65524, 0.0], [-122.54849, 37.60748, 0.0]]"
