LON,LAT,vs30,z1p0,z2p5,vs30source,vs30_ref,z1p0_ref,z2p5_ref
-119.89,34.44,386.6,0,1.45,Inferred,CGS/Wills VS30 Map (2015),"SCEC Community Velocity Model Version 4, Iteration 26, Basin Depth","SCEC Community Velocity Model Version 4, Iteration 26, Basin Depth"
-119.89,34.45,386.6,0,1.35,Inferred,CGS/Wills VS30 Map (2015),"SCEC Community Velocity Model Version 4, Iteration 26, Basin Depth","SCEC Community Velocity Model Version 4, Iteration 26, Basin Depth"
-119.89,34.46,468.4,0,1.35,Inferred,CGS/Wills VS30 Map (2015),"SCEC Community Velocity Model Version 4, Iteration 26, Basin Depth","SCEC Community Velocity Model Version 4, Iteration 26, Basin Depth"
-119.89,34.47,468.4,0,1.3,Inferred,CGS/Wills VS30 Map (2015),"SCEC Community Velocity Model Version 4, Iteration 26, Basin Depth","SCEC Community Velocity Model Version 4, Iteration 26, Basin Depth"
-119.9,34.48,468.4,0,1.35,Inferred,CGS/Wills VS30 Map (2015),"SCEC Community Velocity Model Version 4, Iteration 26, Basin Depth","SCEC Community Velocity Model Version 4, Iteration 26, Basin Depth"
-119.89,34.48,468.4,0,1.3,Inferred,CGS/Wills VS30 Map (2015),"SCEC Community Velocity Model Version 4, Iteration 26, Basin Depth","SCEC Community Velocity Model Version 4, Iteration 26, Basin Depth"
-119.89,34.38,180,0,4.05,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),"SCEC Community Velocity Model Version 4, Iteration 26, Basin Depth","SCEC Community Velocity Model Version 4, Iteration 26, Basin Depth"
-119.88,34.39,180,0,3.95,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),"SCEC Community Velocity Model Version 4, Iteration 26, Basin Depth","SCEC Community Velocity Model Version 4, Iteration 26, Basin Depth"
-119.88,34.38,180,0,4.2,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),"SCEC Community Velocity Model Version 4, Iteration 26, Basin Depth","SCEC Community Velocity Model Version 4, Iteration 26, Basin Depth"
-119.88,34.4,247.5391188,0,3.75,Inferred,Global Vs30 from Topographic Slope (Wald & Allen 2008),"SCEC Community Velocity Model Version 4, Iteration 26, Basin Depth","SCEC Community Velocity Model Version 4, Iteration 26, Basin Depth"
