ID,LON,LAT,vs30,z1p0,z2p5,vs30source,vs30_ref,z1p0_ref,z2p5_ref
172,-121.2,38.0,386.6,0.606666687,2.404962402,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
173,-121.65,38.0,228.2,0.592,3.513333496,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
174,-122.15,37.85,468.4,0.59,3.16,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
175,-121.9,37.7,293.5,0.586666687,3.308,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
176,-122.0,37.4,228.2,0.443092773,0.8575,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
177,-121.1,37.6,386.6,0.0,4.05,Inferred,CGS/Wills VS30 Map (2015),"SCEC CCA, Iteration 6, Basin D","SCEC CCA, Iteration 6, Basin D"
178,-121.0,37.6,386.6,0.0,3.45,Inferred,CGS/Wills VS30 Map (2015),"SCEC CCA, Iteration 6, Basin D","SCEC CCA, Iteration 6, Basin D"
179,-120.85,37.55,386.6,0.0,2.3,Inferred,CGS/Wills VS30 Map (2015),"SCEC CCA, Iteration 6, Basin D","SCEC CCA, Iteration 6, Basin D"
180,-120.65,37.35,386.6,0.0,2.15,Inferred,CGS/Wills VS30 Map (2015),"SCEC CCA, Iteration 6, Basin D","SCEC CCA, Iteration 6, Basin D"
181,-120.15,37.05,386.6,0.0,1.4,Inferred,CGS/Wills VS30 Map (2015),"SCEC CCA, Iteration 6, Basin D","SCEC CCA, Iteration 6, Basin D"
182,-120.1,37.0,386.6,0.0,1.4,Inferred,CGS/Wills VS30 Map (2015),"SCEC CCA, Iteration 6, Basin D","SCEC CCA, Iteration 6, Basin D"
183,-120.05,36.95,386.6,0.0,6.75,Inferred,CGS/Wills VS30 Map (2015),"SCEC CCA, Iteration 6, Basin D","SCEC CCA, Iteration 6, Basin D"
184,-119.95,36.85,386.6,0.0,7.95,Inferred,CGS/Wills VS30 Map (2015),"SCEC CCA, Iteration 6, Basin D","SCEC CCA, Iteration 6, Basin D"
185,-120.8,37.4,386.6,0.0,2.4,Inferred,CGS/Wills VS30 Map (2015),"SCEC CCA, Iteration 6, Basin D","SCEC CCA, Iteration 6, Basin D"
186,-119.8,36.75,386.6,0.0,6.95,Inferred,CGS/Wills VS30 Map (2015),"SCEC CCA, Iteration 6, Basin D","SCEC CCA, Iteration 6, Basin D"
187,-119.9,36.55,228.2,0.0,7.35,Inferred,CGS/Wills VS30 Map (2015),"SCEC CCA, Iteration 6, Basin D","SCEC CCA, Iteration 6, Basin D"
188,-119.85,36.6,228.2,0.0,7.35,Inferred,CGS/Wills VS30 Map (2015),"SCEC CCA, Iteration 6, Basin D","SCEC CCA, Iteration 6, Basin D"
189,-119.75,36.65,228.2,0.0,7.25,Inferred,CGS/Wills VS30 Map (2015),"SCEC CCA, Iteration 6, Basin D","SCEC CCA, Iteration 6, Basin D"
190,-121.85,37.3,228.2,0.0,1.9,Inferred,CGS/Wills VS30 Map (2015),"SCEC CCA, Iteration 6, Basin D","SCEC CCA, Iteration 6, Basin D"
191,-122.1,37.35,444.0,0.595,1.633846191,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
192,-122.05,37.4,293.5,0.600177002,0.8725,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
193,-122.0,37.25,444.0,0.593333313,0.938405762,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
194,-122.0,37.25,444.0,0.593333313,0.938405762,Inferred,CGS/Wills VS30 Map (2015),USGS Bay Area Velocity Model R,USGS Bay Area Velocity Model R
195,-122.05,37.05,468.4,0.0,1.0,Inferred,CGS/Wills VS30 Map (2015),"SCEC CCA, Iteration 6, Basin D","SCEC CCA, Iteration 6, Basin D"
196,-122.0,37.0,468.4,0.0,0.9,Inferred,CGS/Wills VS30 Map (2015),"SCEC CCA, Iteration 6, Basin D","SCEC CCA, Iteration 6, Basin D"
197,-121.45,36.5,228.2,0.0,0.95,Inferred,CGS/Wills VS30 Map (2015),"SCEC CCA, Iteration 6, Basin D","SCEC CCA, Iteration 6, Basin D"
198,-121.3,36.4,228.2,0.0,0.85,Inferred,CGS/Wills VS30 Map (2015),"SCEC CCA, Iteration 6, Basin D","SCEC CCA, Iteration 6, Basin D"
199,-121.3,36.35,228.2,0.0,0.85,Inferred,CGS/Wills VS30 Map (2015),"SCEC CCA, Iteration 6, Basin D","SCEC CCA, Iteration 6, Basin D"
200,-121.25,36.3,386.6,0.0,0.85,Inferred,CGS/Wills VS30 Map (2015),"SCEC CCA, Iteration 6, Basin D","SCEC CCA, Iteration 6, Basin D"
201,-121.1,36.15,386.6,0.0,0.75,Inferred,CGS/Wills VS30 Map (2015),"SCEC CCA, Iteration 6, Basin D","SCEC CCA, Iteration 6, Basin D"
202,-121.1,36.15,386.6,0.0,0.75,Inferred,CGS/Wills VS30 Map (2015),"SCEC CCA, Iteration 6, Basin D","SCEC CCA, Iteration 6, Basin D"
203,-121.0,36.1,293.5,0.0,0.0,Inferred,CGS/Wills VS30 Map (2015),SCEC Community Velocity Model ,SCEC Community Velocity Model 
204,-121.0,36.05,385.1,0.0,0.0,Inferred,CGS/Wills VS30 Map (2015),SCEC Community Velocity Model ,SCEC Community Velocity Model 
205,-120.75,35.3,733.4,0.0,0.0,Inferred,CGS/Wills VS30 Map (2015),SCEC Community Velocity Model ,SCEC Community Velocity Model 
206,-120.6,35.15,385.1,0.0,1.6,Inferred,CGS/Wills VS30 Map (2015),SCEC Community Velocity Model ,SCEC Community Velocity Model 
207,-120.55,35.05,351.9,0.0,2.9,Inferred,CGS/Wills VS30 Map (2015),SCEC Community Velocity Model ,SCEC Community Velocity Model 
208,-120.5,35.05,351.9,0.0,3.8,Inferred,CGS/Wills VS30 Map (2015),SCEC Community Velocity Model ,SCEC Community Velocity Model 
209,-120.05,35.85,385.1,0.0,7.35,Inferred,CGS/Wills VS30 Map (2015),SCEC Community Velocity Model ,SCEC Community Velocity Model 
210,-120.1,35.8,293.5,0.0,6.95,Inferred,CGS/Wills VS30 Map (2015),SCEC Community Velocity Model ,SCEC Community Velocity Model 
211,-120.15,35.8,502.5,0.0,6.75,Inferred,CGS/Wills VS30 Map (2015),SCEC Community Velocity Model ,SCEC Community Velocity Model 
212,-120.25,35.75,571.6,0.0,5.05,Inferred,CGS/Wills VS30 Map (2015),SCEC Community Velocity Model ,SCEC Community Velocity Model 
213,-120.35,35.7,444.0,0.0,3.35,Inferred,CGS/Wills VS30 Map (2015),SCEC Community Velocity Model ,SCEC Community Velocity Model 
214,-120.35,35.7,444.0,0.0,3.35,Inferred,CGS/Wills VS30 Map (2015),SCEC Community Velocity Model ,SCEC Community Velocity Model 
215,-120.4,35.65,386.6,0.0,0.1,Inferred,CGS/Wills VS30 Map (2015),SCEC Community Velocity Model ,SCEC Community Velocity Model 
216,-120.55,35.5,444.0,0.0,0.0,Inferred,CGS/Wills VS30 Map (2015),SCEC Community Velocity Model ,SCEC Community Velocity Model 
217,-120.7,35.25,571.6,0.0,0.0,Inferred,CGS/Wills VS30 Map (2015),SCEC Community Velocity Model ,SCEC Community Velocity Model 
