ID,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,LON_MID,LAT_MID,LENGTH_KM,OBJECTID,DIAMETER,OBJ_ID,SUB_SEGMENT_ID,L_ANCHOR_FULL_METER,SEGMENT_AZIMUTH_DEG,ASPECT_DEG_FROM_90M,LEVEL2_LIQ_BETA_CROSSING,x1,y1,x2,y2,qfault_crossed,psi_dip,theta_rake,rake_azimuth,crossing_lon,crossing_lat,beta_crossing,l_anchor,qfault_type,prob_crossing,event_ind,event_id,norm_dist
176015,-121.9413174,37.42010494,-121.940314,37.4203331,-121.9408157,37.42021902,0.092172,2707,762.0,176015,1,1824.2,73.4,350.0,96.59999999999997,593678.0532149452,4142003.5725103687,593766.5577116472,4142029.8834887743,2600,75.0,163.3,146.0,-121.9413174,37.420104939999995,72.6,1824.2,primary,0.4281,1161,1167,0.352
176015,-121.9413174,37.42010494,-121.940314,37.4203331,-121.9408157,37.42021902,0.092172,2707,762.0,176015,1,1824.2,73.4,350.0,96.59999999999997,593678.0532149452,4142003.5725103687,593766.5577116472,4142029.8834887743,2600,75.0,163.3,146.0,-121.9413174,37.420104939999995,72.6,1824.2,primary,0.4281,1162,1168,0.0917
176016,-121.940314,37.4203331,-121.9395682,37.42050722,-121.9399411,37.42042016,0.068649,2707,762.0,176016,1,1743.6,73.0,278.0,155.0,593766.5577116472,4142029.8834887743,593832.3346987796,4142049.9434665767,2600,75.0,163.3,146.0,-121.94031399999999,37.4203331,73.0,1743.6,primary,0.3197,1161,1167,0.3523
176016,-121.940314,37.4203331,-121.9395682,37.42050722,-121.9399411,37.42042016,0.068649,2707,762.0,176016,1,1743.6,73.0,278.0,155.0,593766.5577116472,4142029.8834887743,593832.3346987796,4142049.9434665767,2600,75.0,163.3,146.0,-121.94031399999999,37.4203331,73.0,1743.6,primary,0.3197,1162,1168,0.0918
201730,-118.3958823,33.96716446,-118.3959516,33.96660127,-118.39591695,33.966882865,0.062949,2749,762.0,201730,1,369.3,183.3,34.0,149.30000000000004,925517.0288812451,3768079.7868630597,925513.4319635676,3768016.9771706006,2013,88.0,163.6,139.4,-118.39591801525773,33.966874209215824,43.9,369.3,secondary,0.2205,688,693,0.1417
201730,-118.3958823,33.96716446,-118.3959516,33.96660127,-118.39591695,33.966882865,0.062949,2749,762.0,201730,1,369.3,183.3,34.0,149.30000000000004,925517.0288812451,3768079.7868630597,925513.4319635676,3768016.9771706006,2013,88.0,163.6,139.4,-118.39591801525773,33.966874209215824,43.9,369.3,secondary,0.2205,689,694,0.0525
201730,-118.3958823,33.96716446,-118.3959516,33.96660127,-118.39591695,33.966882865,0.062949,2749,762.0,201730,1,369.3,183.3,34.0,149.30000000000004,925517.0288812451,3768079.7868630597,925513.4319635676,3768016.9771706006,2013,88.0,163.6,139.4,-118.39591801525773,33.966874209215824,43.9,369.3,secondary,0.2205,690,695,0.0525
201731,-118.3959516,33.96660127,-118.3959875,33.96585173,-118.39596955,33.9662265,0.083411,2749,762.0,201731,1,296.2,179.7,2.0,177.70000000000013,925513.4319635676,3768016.9771706006,925513.8550959722,3767933.619261165,2013,88.0,163.6,139.4,-118.39595159999999,33.966601269999984,40.3,296.2,secondary,0.2731,688,693,0.1443
201731,-118.3959516,33.96660127,-118.3959875,33.96585173,-118.39596955,33.9662265,0.083411,2749,762.0,201731,1,296.2,179.7,2.0,177.70000000000013,925513.4319635676,3768016.9771706006,925513.8550959722,3767933.619261165,2013,88.0,163.6,139.4,-118.39595159999999,33.966601269999984,40.3,296.2,secondary,0.2731,689,694,0.0535
201731,-118.3959516,33.96660127,-118.3959875,33.96585173,-118.39596955,33.9662265,0.083411,2749,762.0,201731,1,296.2,179.7,2.0,177.70000000000013,925513.4319635676,3768016.9771706006,925513.8550959722,3767933.619261165,2013,88.0,163.6,139.4,-118.39595159999999,33.966601269999984,40.3,296.2,secondary,0.2731,690,695,0.0535
