SegmentID,SegmentName,SegmentTrace
2539,"San Andreas (North Coast) 2011 CFM, Subsection 7","[[-122.91499, 38.16831, 0.0], [-122.95068, 38.20722, 0.0]]"
2607,"San Andreas (North Coast) 2011 CFM, Subsection 6","[[-122.87902, 38.12957, 0.0], [-122.89467, 38.14614, 0.0], [-122.91499, 38.16831, 0.0]]"
1418,"San Andreas (North Coast) 2011 CFM, Subsection 5","[[-122.84242, 38.09121, 0.0], [-122.84895, 38.09768, 0.0], [-122.87902, 38.12957, 0.0]]"
21,"San Andreas (North Coast) 2011 CFM, Subsection 4","[[-122.80456, 38.05362, 0.0], [-122.84242, 38.09121, 0.0]]"
1497,"San Andreas (North Coast) 2011 CFM, Subsection 3","[[-122.76778, 38.01543, 0.0], [-122.77521, 38.02445, 0.0], [-122.80456, 38.05362, 0.0]]"
866,"San Andreas (North Coast) 2011 CFM, Subsection 2","[[-122.73466, 37.97518, 0.0], [-122.76778, 38.01543, 0.0]]"
1941,"San Andreas (North Coast) 2011 CFM, Subsection 1","[[-122.70154, 37.93494, 0.0], [-122.70197, 37.9354, 0.0], [-122.73466, 37.97518, 0.0]]"
2765,"San Gregorio (North) 2011 CFM, Subsection 0","[[-122.70499, 37.93885, 0.0], [-122.6831, 37.89578, 0.0], [-122.68107, 37.89196, 0.0]]"
1867,"San Gregorio (North) 2011 CFM, Subsection 1","[[-122.68107, 37.89196, 0.0], [-122.65915, 37.85063, 0.0], [-122.65645, 37.8453, 0.0]]"
131,"San Gregorio (North) 2011 CFM, Subsection 2","[[-122.65645, 37.8453, 0.0], [-122.63269, 37.79837, 0.0]]"
2627,"San Gregorio (North) 2011 CFM, Subsection 3","[[-122.63269, 37.79837, 0.0], [-122.62569, 37.78453, 0.0], [-122.611, 37.75083, 0.0]]"
803,"San Gregorio (North) 2011 CFM, Subsection 4","[[-122.611, 37.75083, 0.0], [-122.59019, 37.70304, 0.0]]"
1542,"San Gregorio (North) 2011 CFM, Subsection 5","[[-122.59019, 37.70304, 0.0], [-122.57074, 37.6583, 0.0], [-122.5694, 37.65524, 0.0]]"
172,"San Gregorio (North) 2011 CFM, Subsection 6","[[-122.5694, 37.65524, 0.0], [-122.54849, 37.60748, 0.0]]"
507,"Pilarcitos 2011 CFM, Subsection 10","[[-122.52071, 37.60949, 0.0], [-122.55638, 37.64006, 0.0]]"
2400,"Pilarcitos 2011 CFM, Subsection 9","[[-122.48368, 37.58011, 0.0], [-122.49369, 37.58631, 0.0], [-122.52071, 37.60949, 0.0]]"
764,"Pilarcitos 2011 CFM, Subsection 8","[[-122.44232, 37.55447, 0.0], [-122.48368, 37.58011, 0.0]]"
2832,"Pilarcitos 2011 CFM, Subsection 7","[[-122.40099, 37.52881, 0.0], [-122.44232, 37.55447, 0.0]]"
2470,"Pilarcitos 2011 CFM, Subsection 6","[[-122.37248, 37.49464, 0.0], [-122.39136, 37.52283, 0.0], [-122.40099, 37.52881, 0.0]]"
342,"Pilarcitos 2011 CFM, Subsection 5","[[-122.34788, 37.45788, 0.0], [-122.37248, 37.49464, 0.0]]"
2877,"Pilarcitos 2011 CFM, Subsection 4","[[-122.31227, 37.42796, 0.0], [-122.34211, 37.44925, 0.0], [-122.34788, 37.45788, 0.0]]"
2471,"Pilarcitos 2011 CFM, Subsection 3","[[-122.2733, 37.40012, 0.0], [-122.31227, 37.42796, 0.0]]"
2182,"Pilarcitos 2011 CFM, Subsection 2","[[-122.23719, 37.37011, 0.0], [-122.25534, 37.38728, 0.0], [-122.2733, 37.40012, 0.0]]"
1921,"Pilarcitos 2011 CFM, Subsection 1","[[-122.20141, 37.33987, 0.0], [-122.2164, 37.35044, 0.0], [-122.23719, 37.37011, 0.0]]"
1296,"Pilarcitos 2011 CFM, Subsection 0","[[-122.16225, 37.31225, 0.0], [-122.20141, 37.33987, 0.0]]"
29,"San Andreas (Peninsula) 2011 CFM, Subsection 3","[[-122.14343, 37.29976, 0.0], [-122.16575, 37.31659, 0.0], [-122.19097, 37.34096, 0.0]]"
337,"San Andreas (Peninsula) 2011 CFM, Subsection 2","[[-122.0946, 37.25948, 0.0], [-122.11594, 37.27902, 0.0], [-122.14343, 37.29976, 0.0]]"
2474,"San Andreas (Peninsula) 2011 CFM, Subsection 1","[[-122.0484, 37.21722, 0.0], [-122.05407, 37.22235, 0.0], [-122.0946, 37.25948, 0.0]]"
1356,"Butano 2011 CFM, Subsection 2","[[-122.04008, 37.17293, 0.0], [-122.0811, 37.19771, 0.0], [-122.09447, 37.2002, 0.0]]"
1876,"Butano 2011 CFM, Subsection 1","[[-121.98754, 37.14236, 0.0], [-121.99243, 37.1441, 0.0], [-122.04008, 37.17293, 0.0]]"
396,"Butano 2011 CFM, Subsection 0","[[-121.92809, 37.12111, 0.0], [-121.98754, 37.14236, 0.0]]"
1732,"San Andreas (Santa Cruz Mts) 2011 CFM, Subsection 1","[[-121.94272, 37.13425, 0.0], [-121.88688, 37.09443, 0.0], [-121.88405, 37.09287, 0.0]]"
1067,"San Andreas (Santa Cruz Mts) 2011 CFM, Subsection 2","[[-121.88405, 37.09287, 0.0], [-121.81994, 37.05752, 0.0], [-121.81965, 37.05734, 0.0]]"
1645,"San Andreas (Santa Cruz Mts) 2011 CFM, Subsection 3","[[-121.81965, 37.05734, 0.0], [-121.7641, 37.02349, 0.0], [-121.7591, 37.01812, 0.0]]"
1750,"San Andreas (Santa Cruz Mts) 2011 CFM, Subsection 4","[[-121.7591, 37.01812, 0.0], [-121.73022, 36.98707, 0.0], [-121.7094, 36.97005, 0.0]]"
304,"San Andreas (Santa Cruz Mts) 2011 CFM, Subsection 5","[[-121.7094, 36.97005, 0.0], [-121.66466, 36.93344, 0.0], [-121.65335, 36.92666, 0.0]]"
589,"San Andreas (Santa Cruz Mts) 2011 CFM, Subsection 6","[[-121.65335, 36.92666, 0.0], [-121.61674, 36.90468, 0.0], [-121.59278, 36.88729, 0.0]]"
663,"San Andreas (Santa Cruz Mts) 2011 CFM, Subsection 7","[[-121.59278, 36.88729, 0.0], [-121.53499, 36.84528, 0.0]]"
1399,"San Andreas (Santa Cruz Mts) 2011 CFM, Subsection 8","[[-121.53499, 36.84528, 0.0], [-121.52059, 36.8348, 0.0], [-121.47635, 36.80405, 0.0]]"
2202,"San Andreas (Creeping Section) 2011 CFM, Subsection 20","[[-121.42469, 36.77262, 0.0], [-121.47635, 36.80405, 0.0]]"
1633,"San Andreas (Creeping Section) 2011 CFM, Subsection 19","[[-121.37307, 36.74117, 0.0], [-121.42469, 36.77262, 0.0]]"
666,"San Andreas (Creeping Section) 2011 CFM, Subsection 18","[[-121.32491, 36.70641, 0.0], [-121.37001, 36.7393, 0.0], [-121.37307, 36.74117, 0.0]]"
461,"San Andreas (Creeping Section) 2011 CFM, Subsection 17","[[-121.2791, 36.66971, 0.0], [-121.30703, 36.69336, 0.0], [-121.32491, 36.70641, 0.0]]"
147,"San Andreas (Creeping Section) 2011 CFM, Subsection 16","[[-121.23458, 36.63197, 0.0], [-121.2791, 36.66971, 0.0]]"
1407,"San Andreas (Creeping Section) 2011 CFM, Subsection 15","[[-121.18993, 36.59435, 0.0], [-121.20964, 36.61081, 0.0], [-121.23458, 36.63197, 0.0]]"
2246,"San Andreas (Creeping Section) 2011 CFM, Subsection 14","[[-121.14618, 36.5561, 0.0], [-121.16568, 36.57409, 0.0], [-121.18993, 36.59435, 0.0]]"
1151,"San Andreas (Creeping Section) 2011 CFM, Subsection 13","[[-121.10374, 36.51689, 0.0], [-121.14618, 36.5561, 0.0]]"
1968,"San Andreas (Creeping Section) 2011 CFM, Subsection 12","[[-121.0623, 36.47703, 0.0], [-121.08632, 36.50079, 0.0], [-121.10374, 36.51689, 0.0]]"
1566,"San Gregorio (North) 2011 CFM, Subsection 12","[[-122.41813, 37.37836, 0.0], [-122.41812, 37.37835, 0.0], [-122.39898, 37.33016, 0.0]]"
2172,"San Gregorio (North) 2011 CFM, Subsection 11","[[-122.44207, 37.42517, 0.0], [-122.44104, 37.42378, 0.0], [-122.41813, 37.37836, 0.0]]"
402,"San Gregorio (North) 2011 CFM, Subsection 10","[[-122.47439, 37.46873, 0.0], [-122.44207, 37.42517, 0.0]]"
128,"San Gregorio (North) 2011 CFM, Subsection 9","[[-122.50674, 37.51227, 0.0], [-122.47439, 37.46873, 0.0]]"
1860,"San Gregorio (North) 2011 CFM, Subsection 8","[[-122.52904, 37.55935, 0.0], [-122.51483, 37.52315, 0.0], [-122.50674, 37.51227, 0.0]]"
2851,"San Gregorio (North) 2011 CFM, Subsection 7","[[-122.54849, 37.60748, 0.0], [-122.54313, 37.59522, 0.0], [-122.52904, 37.55935, 0.0]]"
225,"San Andreas (Mojave S), Subsection 10","[[-117.86522, 34.44927, 0.0], [-117.80177, 34.42295, 0.0]]"
1006,"San Andreas (Mojave S), Subsection 11","[[-117.80177, 34.42295, 0.0], [-117.75358, 34.40293, 0.0], [-117.73841, 34.39652, 0.0]]"
451,"San Andreas (Mojave S), Subsection 12","[[-117.73841, 34.39652, 0.0], [-117.67523, 34.36981, 0.0]]"
2814,"San Andreas (Mojave S), Subsection 13","[[-117.67523, 34.36981, 0.0], [-117.61209, 34.34307, 0.0]]"
1049,"San Andreas (Mojave S), Subsection 14","[[-117.61209, 34.34307, 0.0], [-117.549, 34.3163, 0.0]]"
1070,"San Andreas (San Bernardino N), Subsection 0","[[-117.549, 34.3163, 0.0], [-117.49307, 34.29041, 0.0]]"
881,"San Andreas (San Bernardino N), Subsection 1","[[-117.49307, 34.29041, 0.0], [-117.451, 34.2709, 0.0], [-117.43825, 34.26312, 0.0]]"
2351,"San Andreas (San Bernardino N), Subsection 2","[[-117.43825, 34.26312, 0.0], [-117.38869, 34.23284, 0.0], [-117.38662, 34.23176, 0.0]]"
1450,"San Andreas (San Bernardino N), Subsection 3","[[-117.38662, 34.23176, 0.0], [-117.33243, 34.20354, 0.0]]"
905,"San Andreas (San Bernardino N), Subsection 4","[[-117.33243, 34.20354, 0.0], [-117.27827, 34.17528, 0.0]]"
2751,"San Andreas (San Bernardino N), Subsection 5","[[-117.27827, 34.17528, 0.0], [-117.27416, 34.17314, 0.0], [-117.22202, 34.15003, 0.0]]"
2036,"San Andreas (San Bernardino S), Subsection 0","[[-117.22202, 34.15003, 0.0], [-117.16049, 34.12724, 0.0]]"
341,"San Andreas (San Bernardino S), Subsection 1","[[-117.16049, 34.12724, 0.0], [-117.09898, 34.10443, 0.0]]"
2252,"San Andreas (San Bernardino S), Subsection 2","[[-117.09898, 34.10443, 0.0], [-117.06767, 34.0928, 0.0], [-117.03727, 34.08204, 0.0]]"
1596,"San Andreas (San Bernardino S), Subsection 3","[[-117.03727, 34.08204, 0.0], [-117.0139, 34.07377, 0.0], [-116.97539, 34.06, 0.0]]"
1759,"San Andreas (San Bernardino S), Subsection 4","[[-116.97539, 34.06, 0.0], [-116.91357, 34.03786, 0.0]]"
1858,"San Andreas (San Bernardino S), Subsection 5","[[-116.91357, 34.03786, 0.0], [-116.90235, 34.03384, 0.0], [-116.87354, 34.01135, 0.0], [-116.86347, 34.00156, 0.0]]"
2178,"San Andreas (San Bernardino S), Subsection 6","[[-116.86347, 34.00156, 0.0], [-116.8198, 33.95911, 0.0]]"
181,"San Andreas (San Gorgonio Pass-Garnet HIll), Subsection 7","[[-116.7327, 33.94076, 0.0], [-116.7786, 33.93741, 0.0], [-116.80139, 33.95315, 0.0]]"
1101,"San Andreas (San Gorgonio Pass-Garnet HIll), Subsection 6","[[-116.66034, 33.93323, 0.0], [-116.68581, 33.94416, 0.0], [-116.7327, 33.94076, 0.0]]"
380,"San Andreas (San Gorgonio Pass-Garnet HIll), Subsection 5","[[-116.59092, 33.90866, 0.0], [-116.62387, 33.91757, 0.0], [-116.66034, 33.93323, 0.0]]"
2077,"San Andreas (San Gorgonio Pass-Garnet HIll), Subsection 4","[[-116.52041, 33.88582, 0.0], [-116.58486, 33.90702, 0.0], [-116.59092, 33.90866, 0.0]]"
1409,"San Andreas (San Gorgonio Pass-Garnet HIll), Subsection 3","[[-116.45226, 33.85854, 0.0], [-116.51689, 33.88466, 0.0], [-116.52041, 33.88582, 0.0]]"
1811,"San Andreas (San Gorgonio Pass-Garnet HIll), Subsection 2","[[-116.3799, 33.84715, 0.0], [-116.38301, 33.84852, 0.0], [-116.42653, 33.84812, 0.0], [-116.45226, 33.85854, 0.0]]"
1855,"San Andreas (San Gorgonio Pass-Garnet HIll), Subsection 1","[[-116.31307, 33.81772, 0.0], [-116.3799, 33.84715, 0.0]]"
600,"San Andreas (San Gorgonio Pass-Garnet HIll), Subsection 0","[[-116.24629, 33.78825, 0.0], [-116.31307, 33.81772, 0.0]]"
2630,"San Andreas (Coachella) rev, Subsection 0","[[-116.24629, 33.78825, 0.0], [-116.20499, 33.75463, 0.0]]"
1813,"San Andreas (Coachella) rev, Subsection 1","[[-116.20499, 33.75463, 0.0], [-116.16373, 33.72099, 0.0]]"
30,"San Andreas (Coachella) rev, Subsection 2","[[-116.16373, 33.72099, 0.0], [-116.12249, 33.68734, 0.0]]"
