SourceIndex,Longitude,Latitude,Depth
355794,-117.7,33.2,0
355795,-117.6,33.2,0
355796,-117.5,33.2,0
355797,-117.4,33.2,0
355798,-117.3,33.2,0
355799,-117.2,33.2,0
355800,-117.1,33.2,0
355801,-117,33.2,0
355802,-116.9,33.2,0
355803,-116.8,33.2,0
355804,-116.7,33.2,0
355805,-116.6,33.2,0
355806,-116.5,33.2,0
355807,-116.4,33.2,0
355808,-116.3,33.2,0
355809,-116.2,33.2,0
355810,-116.1,33.2,0
355811,-116,33.2,0
355812,-115.9,33.2,0
355813,-115.8,33.2,0
355814,-115.7,33.2,0
355815,-115.6,33.2,0
355816,-115.5,33.2,0
355817,-115.4,33.2,0
355818,-115.3,33.2,0
355819,-115.2,33.2,0
355820,-115.1,33.2,0
355821,-115,33.2,0
355822,-114.9,33.2,0
355823,-114.8,33.2,0
355824,-114.7,33.2,0
355825,-114.6,33.2,0
355826,-114.5,33.2,0
355827,-114.4,33.2,0
355828,-114.3,33.2,0
355829,-114.2,33.2,0
355830,-114.1,33.2,0
355831,-114,33.2,0
355832,-113.9,33.2,0
355833,-113.8,33.2,0
355834,-113.7,33.2,0
355835,-113.6,33.2,0
355836,-113.5,33.2,0
355837,-119.8,33.3,0
355838,-119.7,33.3,0
355839,-119.6,33.3,0
355840,-119.5,33.3,0
355841,-119.4,33.3,0
355842,-119.3,33.3,0
355843,-119.2,33.3,0
355844,-119.1,33.3,0
355845,-119,33.3,0
355846,-118.9,33.3,0
355847,-118.8,33.3,0
355848,-118.7,33.3,0
355849,-118.6,33.3,0
355850,-118.5,33.3,0
355851,-118.4,33.3,0
355852,-118.3,33.3,0
355853,-118.2,33.3,0
355854,-118.1,33.3,0
355855,-118,33.3,0
355856,-117.9,33.3,0
355857,-117.8,33.3,0
355858,-117.7,33.3,0
355859,-117.6,33.3,0
355860,-117.5,33.3,0
355861,-117.4,33.3,0
355862,-117.3,33.3,0
355863,-117.2,33.3,0
355864,-117.1,33.3,0
355865,-117,33.3,0
355866,-116.9,33.3,0
355867,-116.8,33.3,0
355868,-116.7,33.3,0
355869,-116.6,33.3,0
355870,-116.5,33.3,0
355871,-116.4,33.3,0
355872,-116.3,33.3,0
355873,-116.2,33.3,0
355874,-116.1,33.3,0
355875,-116,33.3,0
355876,-115.9,33.3,0
355877,-115.8,33.3,0
355878,-115.7,33.3,0
355879,-115.6,33.3,0
355880,-115.5,33.3,0
355881,-115.4,33.3,0
355882,-115.3,33.3,0
355883,-115.2,33.3,0
355884,-115.1,33.3,0
