ID,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,LON_MID,LAT_MID,LENGTH_KM,NAME,TYPE,DIAMETER,DATE,WALLTHICK,ADHESION,AREA,DEPTH,SMYS,N_RAMBERG,R_RAMBERG,SOIL,PHI,SHEARSTREN,INTERFACE,GWT,PRESSURE,OBJ_ID,SUB_SEGMENT_ID,which_half,l_anchor,crossing_lon,crossing_lat,prob_crossing,psi_dip,beta_crossing
55,-118.50103791573392,34.283345817205635,-118.5010482439476,34.28256666043557,-118.5010430798,34.2829562388,0.086643,New Line 120,New Line 120,610,1994,9.5,0.7,12136,1.5,462000,16.8,10.7,Sand,39.0,,0.55,7.5,1300,6,6,,130.0,-119.24121000020948,8.253205626817522,0.25,45,90
56,-118.5010482439476,34.28256666043557,-118.5010585721613,34.2817875036655,-118.5010534081,34.2821770821,0.086643,New Line 120,New Line 120,610,1994,9.5,0.7,12136,1.5,462000,16.8,10.7,Sand,39.0,,0.55,7.5,1300,6,7,,216.6,-119.2411836435677,8.253231392046668,0.25,45,90
57,-118.5010585721613,34.2817875036655,-118.501068900375,34.28100834689543,-118.5010637363,34.2813979253,0.086643,New Line 120,New Line 120,610,1994,9.5,0.7,12136,1.5,462000,16.8,10.7,Sand,39.0,,0.55,7.5,1300,6,8,,130.0,-119.24115728769678,8.253257156515607,0.25,45,90
58,-118.501068900375,34.28100834689543,-118.50107922858868,34.28022919012536,-118.5010740645,34.2806187685,0.086643,New Line 120,New Line 120,610,1994,9.5,0.7,12136,1.5,462000,16.8,10.7,Sand,39.0,,0.55,7.5,1300,6,9,,43.3,-119.24113093268552,8.253282920137552,0.25,45,90
59,-118.50107922858868,34.28022919012536,-118.50035458343768,34.28021294445332,-118.500716906,34.2802210673,0.066605,New Line 120,New Line 120,610,1994,9.5,0.7,12136,1.5,462000,16.8,10.7,Sand,39.0,,0.55,7.5,1300,6,10,,33.3,-119.24081203113946,8.253594665215166,0.25,45,90
60,-118.5019032883998,34.28632582786358,-118.50191673704828,34.28550980115187,-118.5019100127,34.2859178145,0.090746,Gas Distribution Line,Gas Distribution,168,1957,4.8,0.7,2461,1.3,324000,26.1,10.3,Clay,,48.0,,7.5,1340,7,1,,45.4,-119.24207385583495,8.252361151447715,0.25,45,90
61,-118.50191673704828,34.28550980115187,-118.50193018569678,34.284693774440164,-118.5019234614,34.2851017878,0.090746,Gas Distribution Line,Gas Distribution,168,1957,4.8,0.7,2461,1.3,324000,26.1,10.3,Clay,,48.0,,7.5,1340,7,2,,136.1,-119.24204847390249,8.252385964048159,0.25,45,90
62,-118.50193018569678,34.284693774440164,-118.50194363434528,34.283877747728454,-118.50193691,34.2842857611,0.090746,Gas Distribution Line,Gas Distribution,168,1957,4.8,0.7,2461,1.3,324000,26.1,10.3,Clay,,48.0,,7.5,1340,7,3,,226.9,-119.24202309287237,8.25241077576039,0.25,45,90
63,-118.50194363434528,34.283877747728454,-118.50195708299375,34.28306172101674,-118.5019503587,34.2834697344,0.090746,Gas Distribution Line,Gas Distribution,168,1957,4.8,0.7,2461,1.3,324000,26.1,10.3,Clay,,48.0,,7.5,1340,7,4,,317.6,-119.24199771291306,8.252435586419669,0.25,45,90
64,-118.50195708299375,34.28306172101674,-118.50197053164224,34.28224569430503,-118.5019638073,34.2826537077,0.090746,Gas Distribution Line,Gas Distribution,168,1957,4.8,0.7,2461,1.3,324000,26.1,10.3,Clay,,48.0,,7.5,1340,7,5,,408.4,-119.24197233385603,8.252460396190767,0.25,45,90
