ID,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,LON_MID,LAT_MID,LENGTH_KM,OBJECTID,DIAMETER,OBJ_ID,SUB_SEGMENT_ID,L_ANCHOR_FULL_METER,SEGMENT_AZIMUTH_DEG,ASPECT_DEG_FROM_90M,LEVEL2_LIQ_BETA_CROSSING
22296,-122.03097,37.88225865,-122.0305939,37.88152313,-122.03078195,37.88189089,0.088196,1641,152.4,22296,1,374.3,157.3,288.0,130.7
22795,-121.929255,37.7668906,-121.9292004,37.76675346,-121.9292277,37.76682203,0.015987,1644,152.4,22795,1,588.3,161.8,129.0,147.2
22860,-121.9278436,37.74613387,-121.9285963,37.74585671,-121.92821995,37.74599529,0.073005,1644,152.4,22860,1,109.7,244.5,221.0,156.5
23102,-120.9629299,37.71831641,-120.964005,37.71831669,-120.96346745,37.71831655,0.094564,1661,152.4,23102,1,426.5,268.8,269.0,179.80000000000018
23493,-120.9339411,37.63821986,-120.9346831,37.63821244,-120.9343121,37.63821615,0.065341,1667,152.4,23493,1,1173.3,268.0,313.0,135.0
24253,-120.9835987,37.10142003,-120.9829293,37.10141782,-120.983264,37.101418925,0.059367,1673,152.4,24253,1,602.5,89.0,90.0,179.0000000000001
24269,-120.9696186,37.10158949,-120.968654,37.10157613,-120.9691363,37.10158281,0.085559,1673,152.4,24269,1,633.1,89.8,97.0,172.8
24353,-120.9501537,37.13365932,-120.9503821,37.13427044,-120.9502679,37.13396488,0.070906,1673,152.4,24353,1,654.8,342.1,82.0,99.9
25075,-120.4295583,36.69083173,-120.4285264,36.69083777,-120.42904235,36.69083475,0.092011,1694,152.4,25075,1,6958.8,88.0,88.0,180.0
25099,-120.4090544,36.69804091,-120.4083108,36.69836708,-120.4086826,36.698203995,0.075568,1694,152.4,25099,1,4931.1,59.9,80.0,159.90000000000003
25188,-120.339195,36.7333601,-120.3388106,36.73415856,-120.3390028,36.73375933,0.095164,1694,152.4,25188,1,142.6,19.6,324.0,124.39999999999999
25681,-119.7554506,36.63432457,-119.7564183,36.63432405,-119.75593445,36.63432431,0.086347,1701,152.4,25681,1,1515.1,268.0,186.0,98.00000000000001
25715,-120.3548126,36.20879745,-120.3550336,36.2087995,-120.3549231,36.208798475,0.019829,1709,152.4,25715,1,9.9,269.1,168.0,101.1
26167,-121.6209556,37.14897436,-121.6216899,37.14838262,-121.62132275,37.14867849,0.092547,1719,152.4,26167,1,46.3,224.0,229.0,175.00000000000014
26187,-121.9959402,36.97230873,-121.9963066,36.97167724,-121.9961234,36.971992985,0.077396,1721,152.4,26187,1,210.3,204.4,136.0,111.60000000000001
26348,-121.7141146,36.74812452,-121.7150794,36.74812621,-121.714597,36.748125365,0.085962,1726,152.4,26348,1,1373.5,269.4,305.0,144.39999999999998
26919,-119.6318817,35.32838821,-119.631424,35.32769012,-119.63165285,35.328039165,0.088032,1748,152.4,26919,1,94.3,149.8,291.0,141.19999999999996
26993,-119.6206647,35.29953401,-119.6216431,35.29953493,-119.6211539,35.29953447,0.088791,1749,152.4,26993,1,417.3,268.1,74.0,165.9
27055,-119.5928058,35.22397404,-119.591706,35.22395455,-119.5922559,35.223964295,0.099924,1750,152.4,27055,1,551.2,89.3,142.0,127.3
27505,-119.3494902,35.08088739,-119.3494845,35.08018926,-119.34948735,35.080538325,0.07763,1754,152.4,27505,1,1165.7,177.5,15.0,162.50000000000003
27620,-120.4751948,34.92100636,-120.4761131,34.9211225,-120.47565395,34.92106443,0.084715,1755,152.4,27620,1,1329.8,277.3,264.0,166.70000000000005
28395,-116.4993545,34.10051276,-116.500187,34.10009958,-116.49977075,34.10030617,0.089367,1757,152.4,28395,1,382.6,235.5,180.0,124.5
28881,-118.3979996,34.24396601,-118.3972845,34.24451147,-118.39764205,34.24423874,0.089439,1762,152.4,28881,1,44.8,44.8,196.0,151.20000000000002
28969,-116.5046997,33.87388992,-116.5053482,33.87389755,-116.50502395,33.873893735,0.059876,1764,152.4,28969,1,30.1,267.2,181.0,93.80000000000001
29707,-116.9958713,32.83944516,-116.9958267,32.83909452,-116.995849,32.83926984,0.039211,1768,152.4,29707,1,43.6,170.6,308.0,137.40000000000006
29747,-116.9827967,32.82524101,-116.9824677,32.82473373,-116.9826322,32.82498737,0.06424,1768,152.4,29747,1,1190.8,148.0,44.0,104.00000000000001
29776,-116.9776481,32.81202262,-116.9767223,32.81202426,-116.9771852,32.81202344,0.08652,1768,152.4,29776,1,217.5,86.6,44.0,137.4
29926,-117.1634827,32.77049637,-117.1628193,32.77093705,-117.163151,32.77071671,0.079047,1770,152.4,29926,1,297.3,48.7,186.0,137.29999999999998
29970,-117.1442337,32.78438441,-117.1437225,32.7849172,-117.1439781,32.784650805,0.076115,1770,152.4,29970,1,114.5,35.8,43.0,172.8
29986,-117.1365867,32.78676666,-117.1360474,32.78675079,-117.13631705,32.786758725,0.050445,1770,152.4,29986,1,25.4,88.8,159.0,109.8
30133,-116.5635344,34.02239147,-116.5635236,34.02176506,-116.563529,34.022078265,0.069661,1773,152.4,30133,1,104.6,175.6,234.0,121.6
30303,-116.554142,33.90352058,-116.5541458,33.90302277,-116.5541439,33.903271675,0.055355,1773,152.4,30303,1,27.7,176.8,198.0,158.8
30508,-117.9695778,34.67007269,-117.9695815,34.67082495,-117.96957965,34.67044882,0.083648,1774,152.4,30508,1,580.6,356.9,317.0,140.10000000000005
30879,-120.2912778,40.38095838,-120.2914351,40.38106632,-120.29135645,40.38101235,0.017933,1791,152.4,30879,1,2532.5,310.1,192.0,118.10000000000007
31076,-120.3220795,40.38683402,-120.3222922,40.386832,-120.32218585,40.38683301,0.018016,1791,152.4,31076,1,1406.2,267.6,164.0,103.60000000000002
31097,-120.3246713,40.38711558,-120.3248391,40.3872131,-120.3247552,40.38716434,0.017876,1791,152.4,31097,1,1175.6,305.5,152.0,153.5
31386,-120.3676896,40.38472124,-120.367899,40.38470022,-120.3677943,40.38471073,0.017889,1791,152.4,31386,1,2534.3,260.8,217.0,136.2
32261,-119.6421279,35.3120019,-119.6412564,35.31154132,-119.64169215,35.31177161,0.094213,1817,177.8,32261,1,250.0,120.9,26.0,94.90000000000002
32342,-118.923334,35.41822375,-118.9233387,35.41751201,-118.92333635,35.41786788,0.079143,1821,177.8,32342,1,186.3,177.9,79.0,98.9
32403,-119.0298112,35.50912141,-119.0295869,35.50844345,-119.02969905,35.50878243,0.078072,1825,177.8,32403,1,39.0,162.6,95.0,112.40000000000002
33113,-121.9373792,39.09725081,-121.9383911,39.09726602,-121.93788515,39.097258415,0.087339,1840,203.2,33113,1,514.3,270.4,328.0,122.40000000000002
33621,-121.7474583,38.63767453,-121.7474676,38.63686497,-121.74746295,38.63726975,0.090023,1853,203.2,33621,1,4443.0,179.7,116.0,116.30000000000004
33663,-121.7391281,38.61156082,-121.7391759,38.61078041,-121.739152,38.611170615,0.086877,1853,203.2,33663,1,1470.0,182.0,330.0,147.99999999999997
33782,-121.7438583,38.5363884,-121.7430593,38.53584976,-121.7434588,38.53611908,0.091744,1853,203.2,33782,1,45.9,129.9,164.0,145.90000000000003
34037,-121.7863182,38.36933919,-121.7863103,38.36848624,-121.78631425,38.368912715,0.094846,1853,203.2,34037,1,1920.5,178.8,103.0,104.19999999999997
34221,-121.6736389,38.63275094,-121.6736143,38.63352659,-121.6736266,38.633138765,0.086275,1855,203.2,34221,1,43.1,0.6,206.0,154.60000000000002
34441,-121.2935184,38.6637406,-121.2925634,38.66375927,-121.2930409,38.663749935,0.082943,1859,203.2,34441,1,723.2,87.5,325.0,122.50000000000001
34514,-121.2411554,38.66052437,-121.2401349,38.66053772,-121.24064515,38.660531045,0.08862,1859,203.2,34514,1,310.9,87.9,70.0,162.10000000000002
34931,-121.0740352,38.64141222,-121.0734644,38.64185448,-121.0737498,38.64163335,0.069828,1859,203.2,34931,1,71.2,44.1,55.0,169.10000000000002
35040,-121.1564835,38.68549987,-121.1558781,38.68590516,-121.1561808,38.685702515,0.069225,1861,203.2,35040,1,893.7,48.3,291.0,117.30000000000005
35170,-121.0783947,38.63417768,-121.078147,38.63463452,-121.07827085,38.6344061,0.055167,1862,203.2,35170,1,273.2,21.8,69.0,132.8
35170,-121.0783947,38.63417768,-121.078147,38.63463452,-121.07827085,38.6344061,0.055167,1862,203.2,35170,1,273.2,21.8,69.0,132.8
35215,-121.1358434,38.6739655,-121.1360472,38.67460512,-121.1359453,38.67428531,0.07329,1865,203.2,35215,1,267.2,344.8,335.0,170.19999999999996
35439,-124.0815267,40.83914692,-124.0815299,40.83851164,-124.0815283,40.83882928,0.07064,1870,203.2,35439,1,1072.0,180.9,272.0,91.10000000000004
35607,-124.1010829,40.87643136,-124.1010866,40.87578311,-124.10108475,40.876107235,0.072083,1871,203.2,35607,1,933.7,181.0,140.0,139.0
35874,-122.1712102,39.81287887,-122.1708787,39.81355111,-122.17104445,39.81321499,0.079933,1877,203.2,35874,1,119.7,20.3,314.0,113.69999999999993
36285,-121.6889692,39.57033064,-121.68898,39.56960616,-121.6889746,39.5699684,0.080564,1884,203.2,36285,1,40.2,179.8,186.0,173.80000000000007
36602,-121.6877856,39.3509154,-121.6877835,39.35041552,-121.68778455,39.35066546,0.055584,1884,203.2,36602,1,202.0,179.0,-1.0,135.0
36783,-121.6565251,39.26190642,-121.6563027,39.2612483,-121.6564139,39.26157736,0.075643,1884,203.2,36783,1,1037.2,164.4,233.0,111.39999999999999
