site_id,lon,lat,vs30,z1p0,z2p5,vs30_source
220,-121.4,38.4,386.6,0.608,2.105915527,0.0
221,-121.4,38.4,386.6,0.608,2.105915527,0.0
222,-121.4,38.4,386.6,0.608,2.105915527,0.0
223,-121.4,38.4,386.6,0.608,2.105915527,0.0
224,-121.4,38.4,386.6,0.608,2.105915527,0.0
225,-121.4,38.4,386.6,0.608,2.105915527,0.0
226,-121.4,38.4,386.6,0.608,2.105915527,0.0
227,-121.4,38.4,386.6,0.608,2.105915527,0.0
228,-121.4,38.4,386.6,0.608,2.105915527,0.0
229,-121.4,38.4,386.6,0.608,2.105915527,0.0
230,-121.4,38.4,386.6,0.608,2.105915527,0.0
231,-121.4,38.4,386.6,0.608,2.105915527,0.0
232,-121.4,38.4,386.6,0.608,2.105915527,0.0
233,-121.4,38.4,386.6,0.608,2.105915527,0.0
234,-121.4,38.4,386.6,0.608,2.105915527,0.0
235,-121.4,38.4,386.6,0.608,2.105915527,0.0
236,-121.4,38.4,386.6,0.608,2.105915527,0.0
237,-121.4,38.4,386.6,0.608,2.105915527,0.0
238,-121.4,38.4,386.6,0.608,2.105915527,0.0
239,-121.4,38.4,386.6,0.608,2.105915527,0.0
240,-121.4,38.4,386.6,0.608,2.105915527,0.0
241,-121.4,38.4,386.6,0.608,2.105915527,0.0
242,-121.4,38.4,386.6,0.608,2.105915527,0.0
243,-121.4,38.4,386.6,0.608,2.105915527,0.0
244,-121.4,38.4,386.6,0.608,2.105915527,0.0
245,-121.4,38.4,386.6,0.608,2.105915527,0.0
246,-121.4,38.4,386.6,0.608,2.105915527,0.0
247,-121.4,38.4,386.6,0.608,2.105915527,0.0
248,-121.4,38.4,386.6,0.608,2.105915527,0.0
249,-121.4,38.4,386.6,0.608,2.105915527,0.0
250,-121.4,38.4,386.6,0.608,2.105915527,0.0
251,-121.4,38.4,386.6,0.608,2.105915527,0.0
252,-121.4,38.4,386.6,0.608,2.105915527,0.0
253,-121.4,38.4,386.6,0.608,2.105915527,0.0
254,-121.4,38.4,386.6,0.608,2.105915527,0.0
255,-121.4,38.4,386.6,0.608,2.105915527,0.0
256,-121.4,38.4,386.6,0.608,2.105915527,0.0
257,-121.4,38.4,386.6,0.608,2.105915527,0.0
258,-121.4,38.4,386.6,0.608,2.105915527,0.0
259,-121.4,38.4,386.6,0.608,2.105915527,0.0
260,-121.4,38.4,386.6,0.608,2.105915527,0.0
261,-121.4,38.4,386.6,0.608,2.105915527,0.0
262,-121.4,38.4,386.6,0.608,2.105915527,0.0
263,-121.4,38.4,386.6,0.608,2.105915527,0.0
264,-121.4,38.4,386.6,0.608,2.105915527,0.0
265,-121.4,38.4,386.6,0.608,2.105915527,0.0
266,-121.4,38.4,386.6,0.608,2.105915527,0.0
267,-121.4,38.4,386.6,0.608,2.105915527,0.0
268,-121.4,38.4,386.6,0.608,2.105915527,0.0
269,-121.4,38.4,386.6,0.608,2.105915527,0.0
270,-121.4,38.4,386.6,0.608,2.105915527,0.0
271,-121.4,38.4,386.6,0.608,2.105915527,0.0
272,-121.4,38.4,386.6,0.608,2.105915527,0.0
273,-121.4,38.4,386.6,0.608,2.105915527,0.0
274,-121.4,38.4,386.6,0.608,2.105915527,0.0
275,-121.4,38.4,386.6,0.608,2.105915527,0.0
276,-121.4,38.4,386.6,0.608,2.105915527,0.0
277,-121.4,38.4,386.6,0.608,2.105915527,0.0
278,-121.4,38.4,386.6,0.608,2.105915527,0.0
279,-121.4,38.4,386.6,0.608,2.105915527,0.0
280,-121.4,38.4,386.6,0.608,2.105915527,0.0
281,-121.4,38.4,386.6,0.608,2.105915527,0.0
282,-121.4,38.4,386.6,0.608,2.105915527,0.0
283,-121.4,38.4,386.6,0.608,2.105915527,0.0
284,-121.4,38.4,386.6,0.608,2.105915527,0.0
285,-121.4,38.4,386.6,0.608,2.105915527,0.0
286,-121.4,38.4,386.6,0.608,2.105915527,0.0
287,-121.4,38.4,386.6,0.608,2.105915527,0.0
288,-121.4,38.4,386.6,0.608,2.105915527,0.0
289,-121.4,38.4,386.6,0.608,2.105915527,0.0
290,-121.4,38.4,386.6,0.608,2.105915527,0.0
291,-121.4,38.4,386.6,0.608,2.105915527,0.0
292,-121.4,38.4,386.6,0.608,2.105915527,0.0
293,-121.4,38.4,386.6,0.608,2.105915527,0.0
294,-121.4,38.4,386.6,0.608,2.105915527,0.0
295,-121.4,38.4,386.6,0.608,2.105915527,0.0
296,-121.4,38.4,386.6,0.608,2.105915527,0.0
297,-121.4,38.4,386.6,0.608,2.105915527,0.0
298,-121.4,38.4,386.6,0.608,2.105915527,0.0
299,-121.35,38.4,386.6,0.606,1.607179443,0.0
300,-121.35,38.4,386.6,0.606,1.607179443,0.0
301,-121.35,38.4,386.6,0.606,1.607179443,0.0
302,-121.35,38.4,386.6,0.606,1.607179443,0.0
303,-121.35,38.4,386.6,0.606,1.607179443,0.0
304,-121.35,38.4,386.6,0.606,1.607179443,0.0
305,-121.35,38.4,386.6,0.606,1.607179443,0.0
306,-121.35,38.4,386.6,0.606,1.607179443,0.0
307,-121.35,38.4,386.6,0.606,1.607179443,0.0
