ID,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,LON_MID,LAT_MID,LENGTH_KM,OBJECTID,DIAMETER,OBJ_ID,SUB_SEGMENT_ID,L_ANCHOR_FULL_METER,SEGMENT_AZIMUTH_DEG,ASPECT_DEG_FROM_90M,LEVEL2_LIQ_BETA_CROSSING,which_half,l_anchor,crossing_lon,crossing_lat,prob_crossing,psi_dip,beta_crossing
10146,-121.5542564,37.82919979,-121.5550919,37.82905579,-121.55467415,37.82912779,0.075106,1203,101.6,10146,1,37.6,256.9,179.0,102.10000000000008,,37.6,-121.85143609650373,5.6730856617294725,0.25,75,90
10187,-121.5819895,37.8168397,-121.5819818,37.81676337,-121.58198565,37.816801535,0.008514,1203,101.6,10187,1,4.2,174.6,36.0,138.6,,4.2,-121.87299241097568,5.651575831851934,0.25,75,90
11299,-120.0568965,36.82952719,-120.0570004,36.82902972,-120.05694845,36.829278455,0.056084,1248,101.6,11299,1,28.0,187.8,299.0,111.19999999999996,,28.0,-120.6247853503048,6.892137260988787,0.25,75,90
11540,-120.060319,36.70223466,-120.0604,36.70223814,-120.0603595,36.7022364,0.007232,1253,101.6,11540,1,3.6,271.3,265.0,173.70000000000002,,3.6,-120.62361263458305,6.893297621215147,0.25,75,90
11594,-120.0609156,36.66161138,-120.0609183,36.66092602,-120.06091695,36.6612687,0.076209,1253,101.6,11594,1,4548.9,178.4,227.0,131.40000000000003,,4548.9,-120.62279807676485,6.894103590822478,0.25,75,90
11928,-119.5891671,36.67771765,-119.588082,36.67772329,-119.58862455,36.67772047,0.09677,1267,101.6,11928,1,2866.1,87.6,187.0,99.40000000000003,,2866.1,-120.23927691418655,7.2730037896305895,0.25,75,90
12159,-121.8082775,37.34069796,-121.8074337,37.34096384,-121.8078556,37.3408309,0.080241,1277,101.6,12159,1,206.0,67.7,136.0,111.7,,206.0,-122.0467265609523,5.478118267681786,0.25,75,90
12417,-119.3689817,35.52888772,-119.3680804,35.52889012,-119.36853105,35.52888892,0.081562,1285,101.6,12417,1,653.8,87.7,208.0,120.3,,653.8,-120.01663150668679,7.492418964017121,0.25,75,90
12786,-117.5217746,34.90922361,-117.5215565,34.90843589,-117.52166555,34.90882975,0.08982,1293,101.6,12786,1,1539.9,164.0,106.0,122.00000000000004,,1539.9,-118.44866213082744,9.024865027773606,0.25,75,90
13011,-117.4654289,34.72583736,-117.4651482,34.7250119,-117.46528855,34.72542463,0.095304,1293,101.6,13011,1,14169.0,161.2,82.0,100.8,,14169.0,-118.39093286280834,9.080821174204134,0.25,75,90
13052,-117.4538439,34.69174501,-117.4535743,34.6909515,-117.4537091,34.691348255,0.091613,1293,101.6,13052,1,10231.8,161.2,81.0,99.8,,10231.8,-118.37925549426848,9.092135576067486,0.25,75,90
13830,-122.1072933,39.10441879,-122.1072838,39.10517245,-122.10728855,39.10479562,0.083807,1322,127.0,13830,1,41.8,360.0,115.0,115.00000000000004,,41.8,-122.30347732798654,5.221469104657615,0.25,75,90
14567,-121.1492844,37.42204666,-121.1493073,37.42209625,-121.14929585,37.422071455,0.005873,1401,127.0,14567,1,2.9,338.7,37.0,121.7,,2.9,-121.52042048769158,6.003035130694506,0.25,75,90
15222,-121.8468357,39.07930703,-121.846803,39.08019072,-121.84681935,39.079748875,0.098302,1493,152.4,15222,1,147.2,0.9,221.0,139.9,,147.2,-122.09964565911454,5.425249483295403,0.25,75,90
15309,-121.9691468,39.05470168,-121.969166,39.05397029,-121.9691564,39.054335985,0.081344,1499,152.4,15309,1,238.5,180.5,-1.0,135.0,,238.5,-122.1949934547182,5.329953467188587,0.25,75,90
15602,-121.6272898,39.06892851,-121.6284345,39.06894121,-121.62786215,39.06893486,0.098833,1508,152.4,15602,1,148.6,270.0,273.0,177.00000000000009,,148.6,-121.92823465154746,5.596440332140381,0.25,75,90
15784,-121.3475157,39.07821392,-121.3463956,39.0784029,-121.34695565,39.07830841,0.098943,1510,152.4,15784,1,1654.6,76.7,336.0,100.7,,1654.6,-121.70852339281986,5.815620304689991,0.25,75,90
15784,-121.3475157,39.07821392,-121.3463956,39.0784029,-121.34695565,39.07830841,0.098943,1510,152.4,15784,1,1654.6,76.7,336.0,100.7,,1654.6,-121.70852339281986,5.815620304689991,0.25,75,90
16090,-121.1433551,39.21018115,-121.1423168,39.21012301,-121.14283595,39.21015208,0.089691,1510,152.4,16090,1,155.9,92.9,298.0,154.90000000000003,,155.9,-121.5513699320032,5.972214133172095,0.25,75,90
16234,-121.2248159,38.78861087,-121.2242092,38.78862224,-121.22451255,38.788616555,0.052599,1514,152.4,16234,1,26.4,87.5,133.0,134.5,,26.4,-121.60696705565638,5.91683255988015,0.25,75,90
16375,-121.8468102,38.73561809,-121.8458285,38.73560446,-121.84631935,38.735611275,0.085163,1515,152.4,16375,1,213.4,90.3,4.0,93.70000000000002,,213.4,-122.09488840313384,5.430002851925853,0.25,75,90
16458,-121.8026563,38.71978602,-121.8023398,38.71976989,-121.80249805,38.719777955,0.027517,1516,152.4,16458,1,13.8,93.0,88.0,175.00000000000009,,13.8,-122.060249474341,5.464609694128236,0.25,75,90
16819,-122.3823394,40.57204097,-122.383007,40.57228628,-122.3826732,40.572163625,0.062638,1523,152.4,16819,1,485.9,295.3,110.0,174.70000000000007,,485.9,-122.52864587603284,4.99610571008795,0.25,75,90
16833,-122.3902551,40.57664906,-122.3903544,40.57713891,-122.39030475,40.576893985,0.055111,1523,152.4,16833,1,252.6,350.8,101.0,110.2,,252.6,-122.53450970663845,4.990233424446879,0.25,75,90
17511,-122.1284818,39.60009062,-122.1280807,39.60092441,-122.12828125,39.600507515,0.098877,1529,152.4,17511,1,10670.2,19.9,129.0,109.1,,10670.2,-122.32466803773754,5.200271070548073,0.25,75,90
18132,-121.8179282,39.41668884,-121.8179215,39.41599013,-121.81792485,39.416339485,0.077695,1533,152.4,18132,1,129.5,178.8,179.0,179.80000000000018,,129.5,-122.08146128040622,5.443418327447873,0.25,75,90
18331,-121.7010121,39.14869271,-121.7019365,39.14870238,-121.7014743,39.148697545,0.079721,1541,152.4,18331,1,1052.2,269.9,296.0,153.9,,1052.2,-121.98697158641788,5.537797569618032,0.25,75,90
18718,-122.6536694,38.46167131,-122.6532809,38.46133886,-122.65347515,38.461505085,0.050107,1549,152.4,18718,1,1634.8,137.2,165.0,152.2,,1634.8,-122.72736191594504,4.797011558018204,0.25,75,90
18776,-122.6219494,38.45324835,-122.6210706,38.45283474,-122.62151,38.453041545,0.089282,1549,152.4,18776,1,1223.0,120.7,291.0,170.29999999999998,,1223.0,-122.70216681174897,4.822264867457649,0.25,75,90
