ID,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,LON_MID,LAT_MID,LENGTH_KM,OBJECTID,DIAMETER,OBJ_ID,SUB_SEGMENT_ID,L_ANCHOR_FULL_METER
9315,-121.422493,38.11414537,-121.422493,38.11367313,-121.422493,38.11390925,0.052511,1178,101.6,398,52,254.2
9320,-121.422493,38.11142403,-121.4225006,38.11118317,-121.4224968,38.1113036,0.026791,1178,101.6,398,57,44
9328,-121.4225563,38.10915701,-121.4225527,38.10867724,-121.4225545,38.10891713,0.053349,1179,101.6,399,4,221.9
9389,-121.4238903,38.08225155,-121.4238911,38.08229617,-121.4238907,38.08227386,0.004962,1179,101.6,399,65,2.5
9492,-121.3316956,38.00128555,-121.3323898,38.00120544,-121.3320427,38.0012455,0.061482,1185,101.6,405,62,1006
9495,-121.3330735,38.00113671,-121.3333941,38.00101825,-121.3332338,38.00107748,0.031028,1185,101.6,405,65,1113.1
9498,-121.3345813,38.00053448,-121.3354874,38.00031281,-121.3350344,38.00042364,0.083126,1185,101.6,405,68,1287.6
9552,-121.3000172,38.01748996,-121.3002604,38.0179315,-121.3001388,38.01771073,0.053519,1187,101.6,407,3,215.1
9580,-121.3138885,38.0207901,-121.3149267,38.0208013,-121.3144076,38.0207957,0.090945,1187,101.6,407,31,415.3
9585,-121.3190633,38.02083848,-121.3200857,38.02084206,-121.3195745,38.02084027,0.089555,1187,101.6,407,36,302.2
9602,-121.2725897,37.96932734,-121.2718496,37.96945948,-121.2722196,37.96939341,0.066518,1188,101.6,408,7,104.7
9622,-121.2674738,37.94679569,-121.2666089,37.94700361,-121.2670413,37.94689965,0.079283,1189,101.6,409,14,189.6
9637,-121.2732773,37.95112228,-121.2732754,37.95110725,-121.2732764,37.95111477,0.00168,1190,101.6,410,2,0.8
9678,-121.291197,37.94487048,-121.2918742,37.94474128,-121.2915356,37.94480588,0.0611,1191,101.6,411,7,30.6
9687,-121.2973159,37.94549786,-121.2975117,37.94618364,-121.2974138,37.94584075,0.078165,1191,101.6,411,16,39
9730,-121.311788,37.93883639,-121.3119644,37.93857977,-121.3118762,37.93870808,0.032458,1191,101.6,411,59,147.8
9763,-121.2413098,37.92202644,-121.2405179,37.92223308,-121.2409139,37.92212976,0.073166,1192,101.6,412,27,423.2
9780,-121.250383,37.90365703,-121.2500107,37.9038347,-121.2501968,37.90374587,0.038172,1193,101.6,413,7,432.4
9783,-121.2490303,37.90418266,-121.2482901,37.9043745,-121.2486602,37.90427858,0.068355,1193,101.6,413,10,580.3
9837,-121.4163359,37.74710043,-121.4172905,37.74708653,-121.4168132,37.74709348,0.083948,1197,101.6,417,1,42.1
9848,-121.421101,37.74257759,-121.4210933,37.74175298,-121.4210972,37.74216529,0.091696,1197,101.6,417,12,540
9864,-121.41648,37.73589995,-121.4164598,37.73508178,-121.4164699,37.73549087,0.090994,1197,101.6,417,28,227
9906,-121.4163301,37.70326342,-121.416328,37.70247777,-121.4163291,37.7028706,0.087361,1197,101.6,417,70,3847.2
9908,-121.4163259,37.70169212,-121.4163048,37.70082737,-121.4163154,37.70125975,0.096174,1197,101.6,417,72,4026
9928,-121.4161453,37.68497217,-121.4161393,37.68420923,-121.4161423,37.6845907,0.084837,1197,101.6,417,92,2581.1
9935,-121.4161067,37.6797372,-121.4161205,37.67894006,-121.4161136,37.67933863,0.088646,1197,101.6,417,99,1998
9948,-121.4160745,37.6702034,-121.4160732,37.66943299,-121.4160739,37.6698182,0.085666,1197,101.6,417,112,941.4
9957,-121.416069,37.66330303,-121.416069,37.66248716,-121.416069,37.66289509,0.09072,1197,101.6,417,121,173.1
9985,-121.7330758,37.67964413,-121.7330551,37.67964554,-121.7330654,37.67964483,0.001825,1202,101.6,422,1,0.9
10031,-121.4534085,37.84278277,-121.4533952,37.84241032,-121.4534019,37.84259655,0.041431,1203,101.6,423,44,36.7
10032,-121.4533952,37.84241032,-121.4533683,37.84226734,-121.4533818,37.84233883,0.016074,1203,101.6,423,45,8
10042,-121.4624156,37.84223376,-121.4633803,37.84223156,-121.462898,37.84223266,0.084718,1203,101.6,423,55,838.7
10045,-121.4655697,37.8422386,-121.4666644,37.84224212,-121.4661171,37.84224036,0.096127,1203,101.6,423,58,1122
10061,-121.4818521,37.84221255,-121.4828692,37.84220909,-121.4823606,37.84221082,0.089309,1203,101.6,423,74,2155.3
10075,-121.496972,37.84215303,-121.4980278,37.84214859,-121.4974999,37.84215081,0.092714,1203,101.6,423,88,823
10084,-121.5059312,37.84210781,-121.5068512,37.84210205,-121.5063912,37.84210493,0.080791,1203,101.6,423,97,40.5
10108,-121.5286816,37.84191982,-121.5297792,37.84191559,-121.5292304,37.84191771,0.09638,1203,101.6,423,121,666.5
10112,-121.5328526,37.84190366,-121.5338406,37.8418998,-121.5333466,37.84190173,0.086754,1203,101.6,423,125,304.3
10151,-121.5568235,37.82877567,-121.5577923,37.82861382,-121.5573079,37.82869475,0.086964,1203,101.6,423,164,43.6
10156,-121.5604265,37.82629646,-121.56138,37.82629563,-121.5609033,37.82629604,0.08375,1203,101.6,423,169,125.9
10174,-121.577041,37.82444484,-121.5776857,37.82388539,-121.5773633,37.82416512,0.084122,1203,101.6,423,187,210.3
10187,-121.5819895,37.8168397,-121.5819818,37.81676337,-121.5819856,37.81680154,0.008514,1203,101.6,423,200,4.2
10191,-121.5845709,37.81677877,-121.585434,37.81678391,-121.5850024,37.81678134,0.075812,1203,101.6,423,204,265.9
10229,-121.6092728,37.83422136,-121.6098434,37.83483713,-121.6095581,37.83452924,0.084848,1203,101.6,423,242,2551
10270,-121.633929,37.86177479,-121.6345673,37.86249461,-121.6342482,37.8621347,0.097705,1203,101.6,423,283,4379
